project,country,site,latitude,longitude,sample_date,biomass_kgha_avg
Madagascar Northwest Ankivonjy 2021,Madagascar,Ankaso_15,-13.486944,47.978222,2021-12-11,744.18
Madagascar Northwest Ankivonjy 2021,Madagascar,Ankivonjy_14,-13.502278,47.95105,2021-12-11,636.79
Madagascar Northwest Ankivonjy 2021,Madagascar,Kisimani_16,-13.558944,48.095389,2021-12-12,224.34
Madagascar Northwest Ankivonjy 2021,Madagascar,Madiro_17,-13.522056,48.026778,2021-12-12,224.98
Madagascar Northwest Ankivonjy 2021,Madagascar,Marotogny_20,-13.581056,47.901556,2021-12-10,147.09
Madagascar Northwest Ankivonjy 2021,Madagascar,Plateau_13,-13.500222,47.882472,2021-12-08,4233.69
Madagascar Northwest Ankivonjy 2021,Madagascar,Plateau_13,-13.500222,47.882472,2021-12-10,1701.84
Panjang + Saringgit 2014,Indonesia,Panjang N1,-8.435167,116.91993,2014-06-24,101.33
Panjang + Saringgit 2014,Indonesia,Panjang N2,-8.4313,116.8698,2014-06-24,217.62
Panjang + Saringgit 2014,Indonesia,Saringgit,-8.40475861,116.9878783,2014-06-10,213.36
Panjang + Saringgit 2014,Indonesia,Saringgit S,-8.430183,116.97245,2014-06-24,214.17
Panjang + Saringgit 2014,Indonesia,Taked Batang,-8.47249,116.85716,2014-06-27,193.09
Tanzania CRCP surveys,Tanzania,Amana1,-8.7109,39.46088,2011-09-20,213.06
Tanzania CRCP surveys,Tanzania,Amana2,-8.70167,39.46367,2011-09-23,251.38
Tanzania CRCP surveys,Tanzania,Amana3,-8.70047,39.46022,2011-09-23,247
Tanzania CRCP surveys,Tanzania,Aquarium,-4.96,39.66,2013-10-04,697.82
Tanzania CRCP surveys,Tanzania,Blue corner,-5.840925909806998,39.397928000814545,2018-10-02,2337.87
Tanzania CRCP surveys,Tanzania,Blue corner 2,-5.840716654208819,39.39623737263429,2018-10-05,1626.36
Tanzania CRCP surveys,Tanzania,Bongoyo1,-6.69964,39.26326,1996-02-13,93.14
Tanzania CRCP surveys,Tanzania,Bongoyo1,-6.69964,39.26326,2005-03-29,64.92
Tanzania CRCP surveys,Tanzania,Bongoyo1,-6.69964,39.26326,2016-11-06,148.68
Tanzania CRCP surveys,Tanzania,Bongoyo2,-6.7,39.26,1996-02-13,80.01
Tanzania CRCP surveys,Tanzania,Bongoyo2,-6.7,39.26,2005-03-29,76.31
Tanzania CRCP surveys,Tanzania,Bongoyo2,-6.7,39.26,2016-11-06,94.24
Tanzania CRCP surveys,Tanzania,Changale,-5.3118,39.06928,1996-04-20,146.15
Tanzania CRCP surveys,Tanzania,Changale,-5.3118,39.06928,2004-01-07,218.48
Tanzania CRCP surveys,Tanzania,Changale,-5.3118,39.06928,2010-11-06,390.63
Tanzania CRCP surveys,Tanzania,Changuu,-6.1176,39.1692,1997-12-08,191.55
Tanzania CRCP surveys,Tanzania,Changuu,-6.1176,39.1692,2005-04-21,167.86
Tanzania CRCP surveys,Tanzania,Changuu,-6.1176,39.1692,2012-11-13,90.36
Tanzania CRCP surveys,Tanzania,Changuu,-6.1176,39.1692,2016-11-11,88.8
Tanzania CRCP surveys,Tanzania,Chapwani,-6.066944444,39.11,1997-12-08,57.87
Tanzania CRCP surveys,Tanzania,Chapwani,-6.066944444,39.11,2005-04-21,131.74
Tanzania CRCP surveys,Tanzania,Chapwani,-6.066944444,39.11,2012-11-13,34.14
Tanzania CRCP surveys,Tanzania,Chapwani,-6.066944444,39.11,2016-11-12,34.8
Tanzania CRCP surveys,Tanzania,ChristmasReef,-5.2438,39.59285,2013-10-06,607.69
Tanzania CRCP surveys,Tanzania,Chumbe 1(house),-6.27928,39.17436,1997-12-07,640.36
Tanzania CRCP surveys,Tanzania,Chumbe 1(house),-6.27928,39.17436,2005-04-24,881.13
Tanzania CRCP surveys,Tanzania,Chumbe 1(house),-6.27928,39.17436,2012-11-16,778.47
