project,country,site,latitude,longitude,sample_date,hard_coral_pit,soft_coral_pit
WCS Solomon Islands 2016-2018,Solomon Islands,KOL16,-8.04992,157.19556,2016-03-22,20.67,3.67
WCS Solomon Islands 2016-2018,Solomon Islands,KOL17,-8.09123,157.18382,2016-03-22,21.67,1
WCS Solomon Islands 2016-2018,Solomon Islands,KOL18,-8.11311,157.17444,2016-03-23,44.67,3
WCS Solomon Islands 2016-2018,Solomon Islands,KOL19,-8.13276,157.15825,2016-03-23,15.67,3
WCS Solomon Islands 2016-2018,Solomon Islands,KOL20,-8.12535,157.10089,2016-03-23,26.33,6
WCS Solomon Islands 2016-2018,Solomon Islands,P10,-8.163763101,156.9979306,2018-02-08,34.67,0.33
WCS Solomon Islands 2016-2018,Solomon Islands,P12,-8.148055504,157.0193985,2018-02-08,52.67,0
WCS Solomon Islands 2016-2018,Solomon Islands,P4,-8.155840393,156.958322,2018-02-08,26,16
WCS Solomon Islands 2016-2018,Solomon Islands,P7,-8.167484826,156.9768003,2018-02-08,40,1.67
WCS Solomon Islands 2016-2018,Solomon Islands,V1,-8.051629305,156.9593951,2018-02-05,41.67,2.67
WCS Solomon Islands 2016-2018,Solomon Islands,V10,-8.099517948,157.0042949,2018-02-07,39,0.33
WCS Solomon Islands 2016-2018,Solomon Islands,V2A,-8.0582,156.9631,2018-02-05,53,12
WCS Solomon Islands 2016-2018,Solomon Islands,V4,-8.066409003,156.9683952,2018-02-05,53.33,20.33
WCS Solomon Islands 2016-2018,Solomon Islands,V5,-8.072163052,156.9722104,2018-02-06,44.33,18.33
WCS Solomon Islands 2016-2018,Solomon Islands,V6,-8.0784247830000009,156.9779307,2018-02-06,48,2.33
WCS Solomon Islands 2016-2018,Solomon Islands,V7,-8.083954003,156.9833478,2018-02-06,19.33,3.67
WCS Solomon Islands 2016-2018,Solomon Islands,V8,-8.090079651,156.9894821,2018-02-06,34,0.33
TBCA 2020,Kenya,Jimbo,-4.6736,39.22763,2020-10-31,17.92,37.92
TBCA 2020,Kenya,Kitanga (Tradewinds tengefu),-4.31395,39.58289,2020-12-03,29.17,0.84
TBCA 2020,Kenya,Mkwiro,-4.70719,39.40254,2020-11-11,29.17,12.08
TBCA 2020,Tanzania,mwamba bunju kusini,-4.76001,39.26975,2020-11-05,32.22,1.11
TBCA 2020,Tanzania,mwamba bunju kusini,-4.76001,39.26975,2020-11-15,48.33,1.67
TBCA 2020,Tanzania,mwamba makome,-5.28136,39.11526,2020-12-19,40,0
TBCA 2020,Tanzania,mwamba mbayai,-4.71604,39.22371,2020-12-01,27.22,2.22
TBCA 2020,Tanzania,mwamba mijira kaskazini,-4.74264,39.29168,2020-11-20,10.42,0.42
TBCA 2020,Tanzania,mwamba mnarani,-5.00883,39.16749,2020-12-14,45.83,1.67
TBCA 2020,Tanzania,mwamba mvinjeni,-4.96428,39.178592,2020-12-03,39.17,10.83
TBCA 2020,Tanzania,mwamba mvinjeni,-4.96428,39.178592,2020-12-13,52.5,6.67
TBCA 2020,Tanzania,mwamba mwezi kusini,-4.75539,39.23412,2020-11-04,55.55,6.67
TBCA 2020,Tanzania,mwamba mwezi kusini,-4.75539,39.23412,2020-11-14,70,0
TBCA 2020,Tanzania,mwamba shangani,-4.75624,39.2166,2020-11-28,27.08,0
TBCA 2020,Tanzania,mwamba shengue,-5.24516,39.10441,2020-12-19,54.17,15
TBCA 2020,Tanzania,mwamba taa,-5.30244,39.09768,2020-12-20,27.08,2.09
TBCA 2020,Kenya,Mwipwa,-4.70187,39.30924,2020-11-28,37.92,5
TBCA 2020,Kenya,Vanga,-4.67795,39.2704,2020-10-16,26.25,22.92
Gili Matra MPA_2019,Indonesia,Air Core,-8.36431667,116.075,2019-08-26,15,2
Gili Matra MPA_2019,Indonesia,Air Core,-8.36431667,116.075,2019-08-27,8.6,1.4
Gili Matra MPA_2019,Indonesia,Barat Sire,-8.36794,116.09777778,2019-08-22,11,0.83
Gili Matra MPA_2019,Indonesia,Biorock,-8.35855389,116.04277778,2019-08-25,10,3.17
Gili Matra MPA_2019,Indonesia,Bongkas Reef,-8.36952,116.0775,2019-07-26,11,0
Gili Matra MPA_2019,Indonesia,Bongkas Reef,-8.36952,116.0775,2019-08-26,4.6,1.4
Gili Matra MPA_2019,Indonesia,Corner Reef,-8.36217,116.08805556,2019-08-21,7.17,11.83
Gili Matra MPA_2019,Indonesia,Gazebo Reef,-8.35433,116.0625,2019-08-22,6.5,0.83
Gili Matra MPA_2019,Indonesia,Good Heart,-8.34647,116.04333333,2019-08-20,6,12.67
Gili Matra MPA_2019,Indonesia,Hans Reef,-8.35016,116.0875,2019-08-21,14.17,0.83
Gili Matra MPA_2019,Indonesia,Meno Slope 2,-8.35216444,116.05111111,2019-08-22,27.17,20.83
Gili Matra MPA_2019,Indonesia,Meno Wall,-8.34369,116.05055556,2019-08-21,46.17,0.17
Gili Matra MPA_2019,Indonesia,Romantic Reef,-8.36078,116.05861111,2019-08-25,12.17,3.83
Gili Matra MPA_2019,Indonesia,Secret Garden,-8.347065,116.06694444,2019-08-24,6.33,1.33
Gili Matra MPA_2019,Indonesia,Shark Point,-8.34222,116.02722222,2019-08-20,30.33,1.5
Gili Matra MPA_2019,Indonesia,Sunset Reef,-8.36252,116.03138889,2019-08-26,8.33,2
Gili Matra MPA_2019,Indonesia,Sunset Reef 2,-8.35451111,116.02833333,2019-08-24,67.5,2.5
Gili Matra MPA_2019,Indonesia,Tanjung Sire,-8.35934,116.11083333,2019-08-27,44.5,0
Gili Matra MPA_2019,Indonesia,Teluk Medane,-8.35713,116.12388889,2019-08-25,40,0
Gili Matra MPA_2019,Indonesia,Teluk Medane,-8.35713,116.12388889,2019-08-27,25.5,0
