worms_sciname,am_sciname,am_sid,iucn_sid
calliostoma rosewateri,calliostoma rosewateri,W-Msc-532536,NA
casmaria atlantica,casmaria atlantica,W-Msc-419776,NA
bursa natalensis,bursa natalensis,W-Msc-419775,NA
spondylus gussonii,spondylus gussonii,W-Msc-141550,NA
callogaza watsoni,callogaza watsoni,W-Msc-419448,NA
teinostoma solidum,teinostoma solidum,SLB-178450,NA
isara antillensis,mitra antillensis,SLB-178457,NA
neoterebra limatula,terebra limatula,W-Msc-420238,NA
antistreptus magellanicus,antistreptus magellanicus,W-Msc-490731,NA
toledonia perplexa,toledonia perplexa,W-Msc-509702,NA
falsilunatia carcellesi,bulbus carcellesi,SLB-178550,NA
ectias turqueti,ectias turqueti,W-Iso-174991,NA
doris fontainii,doris fontainii,W-Msc-536827,NA
fissurellidea megatrema,fissurellidea megatrema,W-Msc-532850,NA
ostrea puelchana,ostrea puelchana,W-Msc-397163,NA
mactra isabelleana,mactra isabelleana,W-Msc-540692,NA
mactra patagonica,mactra patagonica,W-Msc-533008,NA
mactra petitii,mactra petitii,W-Msc-540753,NA
ardeamya petitiana,tellina petitiana,SLB-178589,NA
corbula patagonica,corbula patagonica,W-Msc-505845,NA
creseis conica,creseis conica,W-Msc-390545,NA
ianiropsis kincaidi,ianiropsis kincaidi,W-Iso-255985,NA
caecum brasilicum,caecum brasilicum,W-Msc-419580,NA
gigantidas childressi,bathymodiolus childressi,W-Msc-420692,NA
aristofusus benjamini,fusinus benjamini,SLB-178920,NA
notocochlis guesti,natica guesti,SLB-178926,NA
tractolira germonae,tractolira germonae,W-Msc-197492,NA
conasprella puncticulata,conus puncticulatus,SLB-178961,192822
olivancillaria carcellesi,olivancillaria carcellesi,W-Msc-215628,NA
limopsis galatheae,limopsis galatheae,W-Msc-420725,NA
iathrippa longicauda,iathrippa longicauda,W-Iso-174999,NA
agaronia travassosi,agaronia travassosi,W-Msc-447929,NA
pseudocylichna magna,cylichna magna,SLB-179078,NA
iathrippa sarsi,iathrippa sarsi,W-Iso-258061,NA
argonauta nodosus,argonauta nodosus,W-Msc-225565,163029
voluta ebraea,voluta ebraea,W-Msc-382402,NA
acanthochitona lineata,acanthochitona lineata,W-Msc-386500,NA
felimare ruthae,hypselodoris ruthae,SLB-179136,NA
jaera albifrons,jaera albifrons,SLB-17914,NA
nanuca sebastiani,nanuca sebastiani,W-Msc-599301,NA
acteon pelecais,acteon pelecais,W-Msc-532352,NA
jaera ischiosetosa,jaera ischiosetosa,SLB-17919,NA
kanoia meroglypta,cataegis meroglypta,SLB-179199,NA
diodora mirifica,diodora mirifica,W-Msc-532737,NA
euchelus hummelincki,euchelus hummelincki,W-Msc-532805,NA
margarites biconica,margarites biconicus,SLB-179254,NA
jaera praehirsuta,jaera praehirsuta,SLB-17928,NA
petaloconchus floridanus,petaloconchus floridanus,W-Msc-419551,NA
janira alta,janira alta,W-Iso-118730,NA
amalda josecarlosi,amalda josecarlosi,W-Msc-395879,NA
janira maculosa,janira maculosa,W-Iso-118732,NA
natica menkeana,natica menkeana,W-Msc-533162,NA
turbonilla uruguayensis,turbonilla uruguayensis,W-Msc-533586,NA
tenuicorbula lyoni,corbula lyoni,SLB-179483,NA
oscilla notialis,oscilla notialis,W-Msc-458147,NA
solariella kempi,solariella kempi,W-Msc-533432,NA
trophonella scotiana,trophon scotianus,SLB-179557,NA
chlanidota signeyana,chlanidota signeyana,W-Msc-197111,NA
oocorys clericus,oocorys clericus,W-Msc-533235,NA
gaza olivacea,gaza olivacea,W-Msc-532875,NA
amarilladesma mactroides,mesodesma mactroides,SLB-179640,NA
tonicia lebruni,tonicia lebruni,W-Msc-386333,NA
neojaera antarctica,neojaera antarctica,W-Iso-175001,NA
crepidula depressa,crepidula depressa,W-Msc-419703,NA
pitarenus cordatus,pitar cordatus,SLB-179795,NA
triphora atlantica,triphora atlantica,W-Msc-533513,NA
fissurella oriens,fissurella oriens,W-Msc-532847,NA
talityphis expansus,typhis expansus,SLB-179920,NA
calliostoma modestulum,calliostoma modestulum,W-Msc-532529,NA
calliostoma nordenskjoldi,calliostoma nordenskjoldi,W-Msc-532532,NA
trochaclis antarctica,trochaclis antarctica,W-Msc-197500,NA
trophon drygalskii,trophon drygalskii,W-Msc-197509,NA
prodoris clavigera,bathydoris clavigera,SLB-179966,NA
xylophaga clenchi,xylophaga clenchi,W-Msc-507043,NA
buccinum finmarkianum,buccinum finmarkianum,W-Msc-160143,NA
cyclopecten hoskynsi,cyclopecten subimbrifer,SLB-180044,NA
joeropsis dubia,joeropsis dubia,W-Iso-256048,NA
yoldiella solidula,yoldiella solidula,W-Msc-142010,NA
coronium acanthodes,trophon acanthodes,SLB-180120,NA
joeropsis intermedius,joeropsis intermedius,W-Iso-175020,NA
nucula semiornata,nucula venezuelana,SLB-180141,NA
conus villepinii,conus sanderi,W-Msc-428349,192444
conus villepinii,conus sanderi,W-Msc-428349,192764
lamellisabella denticulata,lamellisabella denticulata,W-Pol-129126,NA
joeropsis rathbunae,joeropsis rathbunae,W-Iso-256073,NA
accalathura crenulata,accalathura crenulata,W-Iso-258458,NA
calathura brachiata,calathura brachiata,W-Iso-118497,NA
oradarea edentata,oradarea edentata,W-Amp-237303,NA
oradarea tricarinata,oradarea tricarinata,W-Amp-237371,NA
oradarea tridentata,oradarea tridentata,W-Amp-237222,NA
oradarea walkeri,oradarea walkeri,W-Amp-237444,NA
rhachotropis antarctica,rhachotropis antarctica,W-Amp-237713,NA
paramoera fissicauda,paramoera fissicauda,W-Amp-237224,NA
prostebbingia gracilis,prostebbingia gracilis,W-Amp-237155,NA
uristes gigas,uristes gigas,W-Amp-237144,NA
prostebbingia serrata,prostebbingia serrata,W-Amp-237443,NA
schraderia gracilis,schraderia gracilis,W-Amp-237117,NA
cinachyra antarctica,cinachyra antarctica,W-Por-171285,NA
melicerita obliqua,melicerita obliqua,W-Bry-173323,NA
metopoides sarsi,metopoides sarsi,W-Amp-237312,NA
gnathiphimedia mandibularis,gnathiphimedia mandibularis,W-Amp-237030,NA
monoculodes scabriculosus,monoculodes scabriculosus,W-Amp-237083,NA
ligia italica,ligia italica,W-Iso-156211,NA
gnathiphimedia sexdentata,gnathiphimedia sexdentata,W-Amp-237255,NA
iphimediella cyclogena,iphimediella cyclogena,W-Amp-237505,NA
iphimediella margueritei,iphimediella margueretei,SLB-181498,NA
notoplites drygalskii,notoplites drygalskii,W-Bry-469406,NA
odontaster penicillatus,odontaster penicillatus,W-Ase-177924,NA
oediceroides calmani,oediceroides calmani,W-Amp-237543,NA
ophiuroglypha lymani,ophiura lymani,SLB-181520,NA
ophioplinthus brevirima,ophioplinthus brevirima,W-Oph-322561,NA
ophioplinthus gelida,ophioplinthus gelida,W-Oph-322567,NA
orchomenella pinguides,orchomenella pinguides,W-Amp-847705,NA
doryteuthis pealeii,doryteuthis pealeii,SLB-181576,NA
doryteuthis roperi,doryteuthis roperi,SLB-181578,NA
amphioctopus burryi,amphioctopus burryi,W-Msc-420653,163359
muusoctopus januarii,muusoctopus januarii,W-Msc-527149,162929
muusoctopus januarii,muusoctopus januarii,W-Msc-527149,163140
pallenopsis macronyx,pallenopsis macronyx,W-Pyc-239928,NA
iphimediella serrata,iphimediella serrata,W-Amp-236946,NA
paracellaria wandeli,paracellaria wandeli,W-Bry-173332,NA
stegopanoploea joubini,stegopanoploea joubini,W-Amp-237074,NA
phrixometra nutrix,phrixometra nutrix,SLB-181614,NA
polymastia invaginata,polymastia invaginata,W-Por-170639,NA
ligia pigmentata,ligia pigmentata,W-Iso-257562,NA
probolisca ovata,probolisca ovata,W-Amp-237461,NA
parawaldeckia kidderi,parawaldeckia kidderi,W-Amp-237720,NA
solidosagitta marri,solidosagitta marri,W-Cha-266854,NA
sphaerotylus antarcticus,sphaerotylus antarcticus,W-Por-170680,NA
thaumatelson herdmani,thaumatelson herdmani,W-Amp-237508,NA
charcotia obesa,waldeckia obesa,SLB-181698,NA
tripylaster philippii,tripylaster philippii,W-Ech-160832,NA
polyzoa reticulata,chorizocormus reticulatus,SLB-181746,NA
eugyra kerguelenensis,eugyra kerguelenensis,W-Asc-250278,NA
morchellium giardi,morchellium giardi,W-Asc-253409,NA
pseudorchomene coatsi,pseudorchomene coatsi,W-Amp-237749,NA
thurammina papillata,thurammina papillata,W-For-114215,NA
hyperammina elongata,hyperammina elongata,W-For-113968,NA
psammosphaera fusca,psammosphaera fusca,W-For-114184,NA
miliolinella subrotunda,miliolinella subrotunda,W-For-112564,NA
mycale magellanica,mycale magellanica,SLB-181827,NA
reophax scorpiurus,reophax scorpiurus,W-For-114016,NA
cribrostomoides subglobosus,cribrostomoides subglobosum,SLB-181889,NA
uristes murrayi,uristes murrayi,W-Amp-557693,NA
capnea georgiana,capnea georgiana,W-Hex-172980,NA
fannyella rossii,fannyella rossii,SLB-181955,NA
tryphosella adarei,uristes adarei,SLB-181979,NA
aglaophamus macroura,aglaophamus macroura,W-Pol-173673,NA
isosecuriflustra angusta,isosecuriflustra angusta,W-Bry-471921,NA
melicerita latilaminata,melicerita latilaminata,W-Bry-173319,NA
cellarinella watersi,cellarinella watersi,W-Bry-174331,NA
antarctothoa bougainvillei,antarctothoa bougainvillei,W-Bry-467469,NA
haplocheira barbimana,haplocheira barbimana,W-Amp-237110,NA
seba saundersii,seba saundersii,W-Amp-103083,NA
solanometra antarctica,solanometra antarctica,SLB-182158,NA
paroctopus digueti,paroctopus digueti,W-Msc-534130,163010
cliona chilensis,cliona chilensis,W-Por-170434,NA
iophon proximum,iophon proximum,W-Por-167419,NA
tedania mucosa,tedania mucosa,SLB-182254,NA
trachytedania spinata,tedania spinata,SLB-182255,NA
biemna chilensis,biemna chilensis,W-Por-168253,NA
axinella crinita,axinella crinita,W-Por-165474,NA
halicnemia papillosa,halicnemia papillosa,W-Por-165983,NA
alcyonium haddoni,alcyonium haddoni,W-Oct-287366,NA
incrustatus comauensis,incrustatus comauensis,W-Oct-290186,NA
primnoella chilensis,primnoella chilensis,W-Oct-409495,NA
convexella magelhaenica,convexella magelhaenica,W-Oct-289710,NA
thouarella koellikeri,thouarella koellikeri,SLB-182280,NA
pascahinnites coruscans,chlamys coruscans,SLB-182305,NA
astralium confragosum,astralium confragosum,W-Msc-581743,NA
harpago chiragra,harpago chiragra,W-Msc-564725,NA
leptoconchus lamarckii,leptoconchus lamarckii,W-Msc-550048,NA
caducifer decapitatus,caducifer decapitata,SLB-182386,NA
euplica loisae,euplica loisae,W-Msc-511779,NA
vasum armatum,vasum armatum,W-Msc-594050,NA
conus nanus,conus nanus,W-Msc-215452,NA
limnoria lignorum,limnoria lignorum,W-Iso-118917,NA
macrorhynchia phoenicea,macrorhynchia phoenicea,W-Hyd-284199,NA
astropecten marginatus,astropecten marginatus,W-Ase-178667,NA
ophiomyxa vivipara,ophiomyxa vivipara,W-Oph-212433,NA
limnoria quadripunctata,limnoria quadripunctata,W-Iso-118918,NA
cornuspira involvens,cornuspira involvens,W-For-112488,NA
saccammina sphaerica,saccammina sphaerica,W-For-114191,NA
saccorhiza ramosa,saccorhiza ramosa,W-For-113974,NA
recurvoides turbinatus,recurvoides turbinatus,W-For-114058,NA
gloripallium spiniferum,gloripallium spiniferum,W-Msc-394366,NA
actinostola chilensis,actinostola chilensis,W-Hex-283449,NA
ophiocoma aethiops,ophiocoma aethiops,W-Oph-243571,NA
sotalia guianensis,sotalia guianensis,ITS-Mam-770938,181359
narcissia gracilis,narcissia gracilis,W-Ase-368964,NA
pharia pyramidata,pharia pyramidata,W-Ase-292795,NA
phataria unifascialis,phataria unifascialis,W-Ase-292797,NA
nidorellia armata,nidorellia armata,W-Ase-254919,NA
ophiomyxa panamensis,ophiomyxa panamensis,W-Oph-243864,NA
limnoria tripunctata,limnoria tripunctata,W-Iso-148645,NA
ophiocomella alexandri,ophiocoma alexandri,SLB-182647,NA
diopederma daniana,diopederma daniana,W-Oph-243251,NA
bunodactis octoradiata,bunodactis octoradiata,W-Hex-283398,NA
parantheopsis ocellata,parantheopsis ocellata,W-Hex-290674,NA
caryophyllia huinayensis,caryophyllia huinayensis,SLB-182662,NA
ophioderma teres,ophioderma teres,W-Oph-243647,NA
ophiopaepale diplax,ophiopaepale diplax,W-Oph-243897,NA
amphiura arcystata,amphiura arcystata,W-Oph-244889,NA
hesperocidaris asteriscus,hesperocidaris asteriscus,W-Ech-513321,NA
orthopyxis mollis,orthopyxis mollis,W-Hyd-284412,NA
hebella striata,hebella striata,W-Hyd-231564,NA
no match,corculum dionaeum,SLB-182746,NA
astropyga pulvinata,astropyga pulvinata,W-Ech-513138,NA
diadema mexicanum,diadema mexicanum,W-Ech-513223,NA
salenocidaris miliaris,salenocidaris miliaris,W-Ech-513527,NA
toxopneustes roseus,toxopneustes roseus,W-Ech-513609,NA
echinometra vanbrunti,echinometra vanbrunti,W-Ech-513244,NA
clypeaster ochrus,clypeaster ochrus,W-Ech-513191,NA
clypeaster rotundus,clypeaster rotundus,W-Ech-513196,NA
clypeaster speciosus,clypeaster speciosus,W-Ech-513197,NA
lanthonia longifissa,mellita longifissa,SLB-182774,NA
agassizia scrobiculata,agassizia scrobiculata,W-Ech-513095,NA
pentamera chierchiae,pentamera chierchiae,W-Hol-529594,NA
psolus diomedeae,psolus diomedeae,W-Hol-529000,NA
holothuria inornata,holothuria inornata,SLB-182809,200714
holothuria kefersteinii,holothuria kefersteinii,SLB-182810,180245
holothuria kefersteinii,holothuria kefersteinii,SLB-182810,180490
holothuria languens,holothuria languens,SLB-182812,180498
leptogorgia rigida,leptogorgia rigida,W-Oct-286273,NA
pacifigorgia adamsii,pacifigorgia adamsii,W-Oct-290566,NA
emarginula dilecta,emarginula dilecta,W-Msc-689282,NA
zebinella tenuistriata,rissoina tenuistriata,SLB-182953,NA
macrostylis spinifera,macrostylis spinifera,W-Iso-118747,NA
oolina globosa,oolina globosa,W-For-113219,NA
lobatula lobatula,lobatula lobatula,SLB-183172,NA
hansenisca soldanii,gyroidina soldanii,SLB-183225,NA
clanculus stigmatarius,clanculus stigmatarius,W-Msc-594180,NA
centrostephanus rodgersii,centrostephanus rodgersii,W-Ech-414212,NA
heliocidaris tuberculata,heliocidaris tuberculata,W-Ech-414224,NA
eurythenes thurstoni,eurythenes thurstoni,W-Amp-237428,NA
ophiomoeris obstricta,ophiomoeris obstricta,W-Oph-243791,NA
phormosoma rigidum,phormosoma rigidum,W-Ech-414210,NA
glyptometra inaequalis,glyptometra inaequalis,NZ-24281,NA
thaumatometra alternata,thaumatometra alternata,NZ-24276,NA
ophiocreas sibogae,ophiocreas sibogae,W-Oph-243603,NA
ophiactis hirta,ophiactis hirta,W-Oph-243449,NA
patiriella oliveri,patiriella oliveri,W-Ase-414182,NA
astroceras elegans,astroceras elegans,W-Oph-243154,NA
asteroporpa australiensis,asteroporpa australiensis,SLB-183480,NA
ophiothrix aristulata,ophiothrix aristulata,SLB-183483,NA
ogmocidaris benhami,ogmocidaris benhami,W-Ech-414200,NA
araeosoma thetidis,araeosoma thetidis,W-Ech-414207,NA
amphiura aster,amphiura aster,SLB-183497,NA
amphiura correcta,amphiura correcta,SLB-183500,NA
rhabdadenia biflora,rhabdadenia biflora,wp-132557,NA
amphiura rosea,amphiura rosea,SLB-183504,NA
propeamussium alcocki,propeamussium alcocki,W-Msc-387373,NA
conocarpus erectus,conocarpus erectus,wp-63196,NA
propeamussium rubrotinctum,propeamussium rubrotinctum,W-Msc-391562,NA
parvamussium vesiculatum,parvamussium vesiculatum,W-Msc-390712,NA
diplodontias dilatatus,diplodontias dilatatus,W-Ase-291659,NA
stegnaster inflatus,stegnaster inflatus,W-Ase-369038,NA
echinaster farquhari,echinaster farquhari,W-Ase-291573,NA
fellaster zelandiae,fellaster zelandiae,W-Ech-414226,NA
delectopecten musorstomi,delectopecten musorstomi,W-Msc-391793,NA
talochlamys pulleineana,talochlamys pulleineana,W-Msc-393632,NA
pentadactyla longidentis,pentadactyla longidentis,W-Hol-414271,NA
mortonia polyporus,mortonia polyporus,W-Ech-513406,NA
ophiocentrus novaezelandiae,ophiocentrus novaezelandiae,W-Oph-243532,NA
ophionereis fasciata,ophionereis fasciata,W-Oph-243881,NA
psilaster acuminatus,psilaster acuminatus,W-Ase-178709,NA
proserpinaster neozelanicus,proserpinaster neozelanicus,W-Ase-291702,NA
luidia neozelanica,luidia neozelanica,W-Ase-291685,NA
spatangus multispinus,spatangus multispinus,W-Ech-414253,NA
amphiura pusilla,amphiura pusilla,SLB-183614,NA
odontaster benhami,odontaster benhami,W-Ase-254911,NA
anneissia benhami,cenolia benhami,NZ-24288,NA
henricia lukinsii,henricia lukinsii,W-Ase-291577,NA
jacksonaster depressum,jacksonaster depressum,W-Ech-513356,NA
macrophiothrix oliveri,ophiothrix oliveri,SLB-183672,NA
ophiothrix lepidus,ophiothrix lepidus,SLB-183673,NA
ranularia dunkeri,cymatium dunkeri,SLB-183706,NA
sterechinus agassizii,sterechinus agassizii,W-Ech-174951,NA
jacquinotia edwardsii,jacquinotia edwardsi,PBD-223594,NA
apohyale hirtipalma,apohyale hirtipalma,W-Amp-237496,NA
melita inaequistylis,melita inaequistylis,W-Amp-237387,NA
achaeus curvirostris,achaeus curvirostris,SLB-183970,NA
platymaia wyvillethomsoni,platymaia wyvillethomsoni,W-Bch-441946,NA
huenia heraldica,huenia heraldica,W-Bch-441457,NA
alpheus socialis,alpheus socialis,PBD-274846,NA
petrolisthes rufescens,petrolisthes rufescens,SLB-184040,NA
gaillardiellus rueppelli,gaillardiellus rueppelli,W-Bch-444035,NA
sinezona pacifica,sinezona pacifica,W-Msc-492823,NA
merelina pisinna,merelina pisinna,W-Msc-578482,NA
euprotomus vomer,euprotomus vomer,W-Msc-594563,NA
pseudoliomera hellerii,pseudoliomera helleri,W-Bch-209013,NA
ozius truncatus,ozius truncatus,W-Bch-440521,NA
pilumnus novaezealandiae,pilumnus novaezealandiae,W-Bch-442544,NA
trapezia septata,trapezia septata,W-Bch-443885,NA
babelomurex lischkeanus,babelomurex lischkeanus,W-Msc-410854,NA
coralliophila monodonta,coralliophila monodonta,W-Msc-549942,NA
goneplacoides marivenae,goneplacoides marivenae,W-Bch-440963,NA
iotyrris cingulifera,iotyrris cingulifera,W-Msc-527381,NA
calcinus imperialis,calcinus imperialis,PBD-275160,NA
porcellanopagurus tridentatus,porcellanopagurus tridentatus,NZ-7397,NA
pagurus sinuatus,pagurus sinuatus,PBD-275214,NA
lewindromia unidentata,lewindromia unidentata,W-Bch-440093,NA
macromedaeus nudipes,macromedaeus nudipes,W-Bch-209082,NA
profundiconus teramachii,conus teramachii,SLB-184283,192681
guinusia dentipes,guinusia dentipes,W-Bch-558068,NA
leptograpsus variegatus,leptograpsus variegatus,W-Bch-444462,NA
conasprella howelli,conus howelli,SLB-184326,192498
musculus impactus,musculus impactus,W-Msc-506138,NA
pratulum pulchellum,nemocardium pulchellum,SLB-184343,NA
planes minutus,planes major,W-Bch-444469,NA
turritriton labiosus,turritriton labiosus,W-Msc-476594,NA
parvamussium formosum,parvamussium formosum,W-Msc-391654,NA
guinusia chabrus,guinusia chabrus,W-Bch-558067,NA
nassarius reeveanus,nassarius reeveanus,W-Msc-560305,NA
munna antarctica,munna antarctica,W-Iso-175076,NA
hydrophis platurus,pelamis platura,SLB-184619,176738
nephropsis holthuisi,nephropsis holthuisi,PBD-275015,184990
nematocarcinus exilis,nematocarcinus exilis,SLB-184666,NA
polycheles enthrix,polycheles enthrix,SLB-184672,185019
munida eclepsis,munida eclepsis,SLB-184685,NA
munida isos,munida isos,PBD-275120,NA
diacanthurus ecphyma,diacanthurus ecphyma,SLB-184695,NA
pagurojacquesia polymorpha,pagurojacquesia polymorpha,NZ-7388,NA
paragiopagurus diogenes,paragiopagurus diogenes,PBD-275225,NA
parapagurus richeri,parapagurus richeri,PBD-275229,NA
cheiroplatea pumicicola,cheiroplatea pumicicola,SLB-184702,NA
tumidodromia dormia,tumidodromia dormia,W-Bch-440119,NA
metadromia wilsoni,metadromia wilsoni,W-Bch-440094,NA
mursia microspina,mursia microspina,W-Bch-440331,NA
tanaoa distinctus,tanaoa distinctus,W-Bch-441345,NA
astrobrachion adhaerens,astrobrachion adhaerens,W-Oph-243145,NA
prismatopus goldsboroughi,prismatopus goldsboroughi,W-Bch-442055,NA
ophiocreas oedipus,ophiocreas oedipus,W-Oph-124956,NA
calocarcinus africanus,calocarcinus africanus,W-Bch-211051,NA
aglaophamus elamellatus,aglaophamus elamellatus,W-Pol-332893,NA
munna fabricii,munna fabricii,W-Iso-118754,NA
pentacheles obscurus,pentacheles obscurus,SLB-184797,185091
munna globicauda,munna globicauda,W-Iso-175103,NA
astrothorax waitei,astrothorax waitei,W-Oph-214611,NA
isopora brueggemanni,isopora brueggemanni,W-Scl-730688,133182
isopora brueggemanni,isopora brueggemanni,W-Scl-730688,133189
isopora crateriformis,isopora crateriformis,W-Scl-730691,133472
isopora cuneata,isopora cuneata,W-Scl-730687,133660
isopora palifera,isopora palifera,W-Scl-730686,133139
porites somaliensis,porites somaliensis,W-Scl-207244,133645
craterastrea levis,craterastrea levis,W-Scl-216131,NA
psammocora albopicta,psammocora albopicta,W-Scl-287782,NA
stereomastis helleri,stereomastis helleri,SLB-184828,185040
stereomastis pacifica,stereomastis pacifica,SLB-184830,185037
stereomastis phosphorus,stereomastis phosphorus,SLB-184832,185072
stereomastis suhmi,stereomastis suhmi,SLB-184836,185036
stereomastis surda,stereomastis surda,SLB-184838,185023
stereomastis talismani,stereomastis talismani,SLB-184839,185022
willemoesia inornata,willemoesia inornata,SLB-184844,185094
willemoesia leptodactyla,willemoesia leptodactyla,SLB-184845,185054
acantharctus ornatus,acantharctus ornatus,SLB-184850,185031
bathyarctus faxoni,bathyarctus faxoni,SLB-184857,185077
bathyarctus rubens,bathyarctus rubens,PBD-275068,185035
chelarctus aureus,chelarctus aureus,Chn-8fd42244-81ae-418b-9e7d-1a07d933db73,185041
chelarctus cultrifer,chelarctus cultrifer,Chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,185080
crenarctus bicuspidatus,crenarctus bicuspidatus,SLB-184897,185093
crenarctus crenatus,crenarctus crenatus,PBD-275070,185020
crenarctus crenatus,crenarctus crenatus,PBD-275070,185048
escarpia laminata,escarpia laminata,W-Pol-265923,NA
eduarctus martensii,eduarctus martensii,Chn-08d9eb73-87c3-4b8a-8861-baf5b2862d8c,170037
eduarctus modestus,eduarctus modestus,SLB-184906,184997
galearctus aurora,galearctus aurora,SLB-184912,185076
galearctus kitanoviriosus,galearctus kitanoviriosus,Chn-f255ce49-bed7-4937-998b-cf930cedf3a6,185074
galearctus timidus,galearctus timidus,SLB-184916,185062
galearctus umbilicatus,galearctus umbilicatus,PBD-275072,184988
ibacus alticrenatus,ibacus alticrenatus,PBD-275074,170087
petrarctus demani,petrarctus demani,SLB-184954,185017
petrarctus rugosus,petrarctus rugosus,SLB-184955,170055
remiarctus bertholdii,remiarctus bertholdii,Chn-b131aac2-f572-412d-992d-0a5de940cc27,170004
scammarctus batei,scammarctus batei,Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,169978
asteropus ketostea,asteropus ketostea,W-Por-169790,NA
munna maculata,munna maculata,W-Iso-175104,NA
munna neglecta,munna neglecta,W-Iso-256233,NA
eugyra polyducta,eugyra polyducta,W-Asc-251605,NA
caprellinoides tristanensis,caprellinoides tristanensis,W-Amp-431117,NA
jassa alonsoae,jassa alonsoae,W-Amp-237316,NA
pseudischyrocerus distichon,pseudischyrocerus distichon,W-Amp-237521,NA
seepiophila jonesi,seepiophila jonesi,W-Pol-266012,NA
haliclona rudis,haliclona rudis,SLB-185205,NA
munna studeri,munna studeri,W-Iso-175106,NA
kirkpatrickia variolosa,kirkpatrickia variolosa,W-Por-169300,NA
trachythyone lechleri,trachythyone lechleri,W-Hol-529710,NA
haliclona tenella,haliclona tenella,W-Por-166482,NA
pseudosuberites montiniger,pseudosuberites montiniger,W-Por-134257,NA
anoxycalyx joubini,anoxycalyx joubini,SLB-185280,NA
lamellibrachia barhami,lamellibrachia barhami,W-Pol-265812,NA
sigmodota contorta,sigmodota contorta,W-Hol-732698,NA
fissurella costata,fissurella costata,W-Msc-570480,NA
fissurella latimarginata,fissurella latimarginata,W-Msc-570473,NA
fissurella maxima,fissurella maxima,W-Msc-570469,NA
fissurella cumingi,fissurella cumingi,W-Msc-570478,NA
taliepus dentatus,taliepus dentatus,W-Bch-441501,NA
cancer porteri,cancer porteri,W-Bch-440381,NA
ovalipes trimaculatus,ovalipes trimaculatus,W-Bch-246565,NA
leukoma thaca,leukoma thaca,W-Msc-507747,NA
xanthochorus cassidiformis,xanthochorus cassidiformis,W-Msc-404389,NA
metacarcinus edwardsii,metacarcinus edwardsii,W-Bch-440386,NA
homalaspis plana,homalaspis plana,W-Bch-440523,NA
athyonidium chilensis,athyonidium chilensis,W-Hol-848271,NA
neonesidea villosa,bairdoppilata villosa,SLB-185451,NA
uromunna reynoldsi,uromunna reynoldsi,W-Iso-256264,NA
lychaete herpestica,cladophora herpestica,SLB-185476,NA
callistoctopus ornatus,callistoctopus ornatus,W-Msc-534728,163200
iravadia quadrasi,iravadia quadrasi,W-Msc-527647,184847
ilyarachna antarctica,ilyarachna antarctica,W-Iso-175184,NA
ridgeia piscesae,ridgeia piscesae,W-Pol-266009,NA
riftia pachyptila,riftia pachyptila,W-Pol-266010,NA
rayllianassa amboinensis,rayllianassa amboinensis,SLB-186010,NA
oplophorus novaezeelandiae,oplophorus novaezeelandiae,PBD-274753,NA
ilyarachna hirticeps,ilyarachna hirticeps,W-Iso-118676,NA
sinezona ferriezi,sinezona ferriezi,W-Msc-492814,NA
anatoma japonica,anatoma japonica,W-Msc-492990,NA
antisabia foliacea,antisabia foliacea,W-Msc-598655,NA
pilosabia trigona,pilosabia trigona,W-Msc-716495,NA
acanthephyra cucullata,acanthephyra cucullata,SLB-186085,NA
oasisia alvinae,oasisia alvinae,W-Pol-265973,NA
ilyarachna nordenstami,ilyarachna nordenstami,W-Iso-175186,NA
campylonotus vagans,campylonotus vagans,SLB-186169,NA
tridentarius dentatus,tridentarius dentatus,W-Msc-531859,NA
munnopsis typica,munnopsis typica,W-Iso-118770,NA
caryophyllia concreta,caryophyllia concreta,SLB-186689,NA
caryophyllia versicolorata,caryophyllia versicolorata,SLB-186771,NA
crispatotrochus septumdentatus,crispatotrochus septumdentatus,W-Scl-504003,NA
deltocyathus inusitiatus,deltocyathus inusitiatus,W-Scl-508945,NA
orthoscuticella innominata,orthoscuticella innominata,W-Bry-467033,NA
fenestrulina thyreophora,fenestrulina thyreophora,W-Bry-469998,NA
disporella pristis,disporella pristis,W-Bry-470866,NA
pseudosquillisma adiastalta,pseudosquillisma adiastalta,SLB-186934,NA
patiria chilensis,patiria chilensis,W-Ase-382124,NA
chiton magnificus,chiton magnificus,W-Msc-386779,NA
chiton cumingsii,chiton cumingsii,W-Msc-386774,NA
chiton granosus,chiton granosus,SLB-186990,NA
acesta patagonica,acesta patagonica,W-Msc-505416,NA
carditella naviformis,carditella naviformis,W-Msc-504960,NA
tetralia nigrolineata,tetralia nigrolineata,W-Bch-443859,NA
tuerkayana hirtipes,discoplax hirtipes,W-Bch-444444,NA
squilla aculeata,squilla aculeata,SLB-187057,NA
onykia loennbergii,onykia loennbergii,W-Msc-410383,NA
actumnus setifer,actumnus setifer,W-Bch-210170,NA
austrolittorina araucana,austrolittorina araucana,W-Msc-446840,NA
nassarius gayii,nassarius gayii,W-Msc-560213,NA
austroniscus ovalis,austroniscus ovalis,W-Iso-175221,NA
phidiana lottini,phidiana lottini,W-Msc-536876,NA
nauticaris magellanica,nauticaris magellanica,SLB-187376,NA
pagurus comptus,pagurus comptus,SLB-187385,NA
