worms_sciname,am_sciname,am_sid,iucn_sid
plumularia strobilophora,plumularia strobilophora,W-Hyd-285300,NA
dynamena crisioides,dynamena crisioides,W-Hyd-418901,NA
cyclozodion tuberatum,cyclozodion tuberatum,W-Bch-421922,NA
mursia hawaiiensis,mursia hawaiiensis,W-Bch-440329,NA
himerometra robustipinna,himerometra robustipinna,SLB-92612,NA
meretrix lyrata,meretrix lyrata,W-Msc-507776,NA
paratapes textilis,paphia textile,SLB-92614,NA
archaster typicus,archaster typicus,W-Ase-213119,NA
astropecten polyacanthus,astropecten polyacanthus,W-Ase-213245,NA
echinaster callosus,echinaster callosus,W-Ase-213319,NA
echinaster luzonicus,echinaster luzonicus,W-Ase-367951,NA
luidia maculata,luidia maculata,W-Ase-213112,NA
periglypta puerpera,periglypta puerpera,W-Msc-590802,NA
mithrodia clavigera,mithrodia clavigera,W-Ase-178200,NA
fromia heffernani,celerina heffernani,SLB-92642,NA
fromia indica,fromia indica,W-Ase-368952,NA
fromia monilis,fromia monilis,W-Ase-213301,NA
linckia laevigata,linckia laevigata,W-Ase-207610,NA
venerupis aspera,ruditapes variegatus,SLB-92647,NA
biffarius biformis,biffarius biformis,ITS-552845,NA
comaster schlegelii,comanthina schlegeli,Chn-91abc70c-b6ae-49a6-840b-05ea852baff4,NA
tapes conspersus,tapes dorsatus,SLB-92657,NA
fragillianassa fragilis,biffarius fragilis,ITS-552846,NA
tapes literatus,tapes literatus,W-Msc-215828,NA
choriaster granulatus,choriaster granulatus,W-Ase-213280,NA
culcita novaeguineae,culcita novaeguineae,W-Ase-212298,NA
macridiscus aequilatera,gomphina aequilatera,SLB-92669,NA
marcia japonica,katelysia japonica,SLB-92671,NA
pentaceraster alveolatus,pentaceraster alveolatus,W-Ase-370898,NA
marcia recens,katelysia marmorata,SLB-92676,NA
neotrypaea japonica,callianassa japonica,ITS-552838,NA
