species,gf_level,depth_pc1,depth_pc2,log_l,mob_score,repr_pc1,repr_pc2,troph,troph_se,k_group,p_group
prototyphis allani,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
prototyphis angasi,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
prototyphis awamoanus,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
prototyphis eos,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
prototyphis gracilis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
prototyphis tahuensis,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pseudoperissolax blakei,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pseudoperissolax tricarnatus,3,0.406403798405934,-0.42993060636098746,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus acanthopterus,2.8333333333333335,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus akation,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus ariomus,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus duffusi,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus triformis,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus undosus,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus webbi,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pterochelus westralis,2.9166666666666665,0.43517877743030897,-0.432499454140824,0.5352178860574652,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura benderskyi,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura bequaerti,2.5833333333333335,0.43517877743030897,-0.432499454140824,0.5910646070264992,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura centrifuga,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura dearmata,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura deroyana,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura erinaceoides,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura esycha,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura fairiana,2.7916666666666665,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
pteropurpura festiva,2.7083333333333335,0.43517877743030897,-0.432499454140824,0.52822372923745875,1,0.7892597878516658,1.354225791266902,3.2449444444444446,0.26105555555555554,b,b
