parent,id,parent_level,name,rank
anthoathecata,380386,order,heterastridiidae,family
anthoathecata,22776,order,acaulidae,family
anthoathecata,266973,order,boeromedusidae,family
anthoathecata,22777,order,boreohydridae,family
anthoathecata,1595,order,candelabridae,family
anthoathecata,1598,order,corymorphidae,family
anthoathecata,151708,order,hydridae,family
anthoathecata,16357,order,margelopsidae,family
anthoathecata,22785,order,paracorynidae,family
anthoathecata,22788,order,protohydridae,family
anthoathecata,1603,order,tubulariidae,family
anthoathecata,266967,order,asyncorynidae,family
anthoathecata,22778,order,cladocorynidae,family
anthoathecata,16356,order,cladonematidae,family
anthoathecata,1599,order,corynidae,family
anthoathecata,266993,order,halimedusidae,family
anthoathecata,266975,order,hydrocorynidae,family
anthoathecata,196235,order,milleporidae,family
anthoathecata,22784,order,moerisiidae,family
anthoathecata,22787,order,pennariidae,family
anthoathecata,20790,order,porpitidae,family
anthoathecata,266994,order,pseudosolanderiidae,family
anthoathecata,1321083,order,pteronemidae,family
anthoathecata,22789,order,rosalindidae,family
anthoathecata,266972,order,solanderiidae,family
anthoathecata,22791,order,sphaerocorynidae,family
anthoathecata,266968,order,teissieridae,family
anthoathecata,235733,order,tricyclusidae,family
anthoathecata,22781,order,zancleidae,family
anthoathecata,266976,order,zancleopsidae,family
anthoathecata,266966,order,australomedusidae,family
anthoathecata,512165,order,axoporidae,family
anthoathecata,266991,order,balellidae,family
anthoathecata,1594,order,bougainvilliidae,family
anthoathecata,231542,order,bythotiaridae,family
anthoathecata,231543,order,clathrozoellidae,family
anthoathecata,408758,order,cordylophoridae,family
anthoathecata,22801,order,cytaeididae,family
anthoathecata,233219,order,eucodoniidae,family
anthoathecata,1600,order,eudendriidae,family
anthoathecata,22759,order,filifera incertae sedis,family
anthoathecata,527180,order,heterotentaculidae,family
anthoathecata,1601,order,hydractiniidae,family
anthoathecata,391316,order,jeanbouilloniidae,family
anthoathecata,446267,order,magapiidae,family
anthoathecata,22803,order,niobiidae,family
anthoathecata,231678,order,oceaniidae,family
anthoathecata,15029,order,pandeidae,family
anthoathecata,1615,order,proboscidactylidae,family
anthoathecata,22962,order,protiaridae,family
anthoathecata,22804,order,ptilocodiidae,family
anthoathecata,19485,order,rathkeidae,family
anthoathecata,231546,order,rhysiidae,family
anthoathecata,870256,order,similiclavidae,family
anthoathecata,22805,order,stylasteridae,family
anthoathecata,21203,order,trichydridae,family
anthoathecata,403695,order,tubiclavoididae,family
antipatharia,103301,order,antipathidae,family
antipatharia,266960,order,aphanipathidae,family
antipatharia,266961,order,cladopathidae,family
antipatharia,266962,order,leiopathidae,family
antipatharia,266963,order,myriopathidae,family
antipatharia,266964,order,schizopathidae,family
antipatharia,266965,order,stylopathidae,family
aphragmophora,255177,order,bathybelidae,family
aphragmophora,15172,order,krohnittidae,family
aphragmophora,255178,order,pterokrohniidae,family
aphragmophora,15175,order,pterosagittidae,family
aphragmophora,5953,order,sagittidae,family
apiales,414761,order,apiaceae,family
aplousobranchia,103438,order,clavelinidae,family
aplousobranchia,154132,order,diazonidae,family
aplousobranchia,103439,order,didemnidae,family
aplousobranchia,248198,order,euherdmaniidae,family
aplousobranchia,154135,order,holozoidae,family
aplousobranchia,248199,order,placentelidae,family
aplousobranchia,103440,order,polycitoridae,family
aplousobranchia,103441,order,polyclinidae,family
aplousobranchia,248200,order,protopolyclinidae,family
aplousobranchia,248201,order,pseudodistomidae,family
aplousobranchia,248203,order,ritterellidae,family
aplousobranchia,248204,order,stomozoidae,family
aplousobranchia,818948,order,vitrumidae,family
aplysiida,1753,order,akeridae,family
aplysiida,172,order,aplysiidae,family
apochela,342537,order,milnesiidae,family
apodida,731959,order,apodida incertae sedis,family
apodida,123180,order,chiridotidae,family
apodida,123181,order,myriotrochidae,family
apodida,123182,order,synaptidae,family
apostomatida,387395,order,colliniidae,family
apostomatida,425433,order,cyrtocaryidae,family
apostomatida,172326,order,foettingeriidae,family
apostomatida,1258825,order,pseudocolliniidae,family
arachnoidiscales,430068,order,arachnoidiscaceae,family
araeolaimida,231714,order,araeolaimidae,family
araeolaimida,2184,order,axonolaimidae,family
araeolaimida,227143,order,bodonematidae,family
araeolaimida,2185,order,comesomatidae,family
araeolaimida,2186,order,coninckiidae,family
araeolaimida,2187,order,diplopeltidae,family
araneae,510148,order,agelenidae,family
araneae,509793,order,anyphaenidae,family
araneae,510077,order,barychelidae,family
araneae,231936,order,clubionidae,family
araneae,378648,order,desidae,family
araneae,150468,order,dictynidae,family
araneae,150469,order,gnaphosidae,family
araneae,510114,order,hahniidae,family
araneae,150470,order,linyphiidae,family
araneae,150471,order,lycosidae,family
araneae,150472,order,salticidae,family
arbacioida,510612,order,acropeltidae,family
arbacioida,123156,order,arbaciidae,family
arbacioida,510737,order,glypticidae,family
archaediscida,1054249,order,ammarchaediscidae,family
archaediscida,1054250,order,archaediscidae,family
archaediscida,1054251,order,eosigmoilinidae,family
archaediscida,1054540,order,howchiniidae,family
archaediscida,526314,order,lasiodiscidae,family
archaediscida,1048314,order,pseudovidalinidae,family
archaediscida,720898,order,pseudoammodiscidae,family
archaediscida,720909,order,tournayellidae,family
archaeognatha,118091,order,machilidae,family
archaeolepadomorpha,1422389,order,archaeolepadidae,family
archaeolepadomorpha,1422594,order,myolepadidae,family
archaeostraca,607468,order,caryocarididae,family
archaeostraca,607444,order,ceratiocarididae,family
archaeostraca,607616,order,aristozoidae,family
archaeostraca,607483,order,echinocarididae,family
archaeostraca,607619,order,echinocaridina incertae sedis,family
archaeostraca,607610,order,ptychocarididae,family
archaeostraca,852028,order,palaeopemphidae,family
archaeostraca,607438,order,ohiocarididae,family
archaeostraca,607437,order,pephricarididae,family
archaeostraca,607549,order,rhinocarididae,family
archigregarinorida,562675,order,exoschizonidae,family
archigregarinorida,562677,order,selenidioididae,family
archinemertea,1451614,order,cephalotrichellidae,family
archinemertea,766122,order,cephalotrichidae,family
arcida,208,order,arcidae,family
arcida,489067,order,cucullaeidae,family
arcida,209,order,glycymerididae,family
arcida,6072,order,noetiidae,family
arcida,492117,order,parallelodontidae,family
arcida,2093,order,limopsidae,family
arcida,196890,order,philobryidae,family
ardissoneales,163702,order,ardissoneaceae,family
arecales,234449,order,arecaceae,family
argentiniformes,125508,order,argentinidae,family
argentiniformes,125509,order,bathylagidae,family
argentiniformes,125511,order,microstomatidae,family
argentiniformes,125512,order,opisthoproctidae,family
arguloida,104070,order,argulidae,family
arhynchobdellida,160005,order,erpobdellidae,family
arthracanthida,367337,order,dictyacanthidae,family
arthracanthida,367335,order,phyllostauridae,family
arthracanthida,235748,order,acanthometridae,family
arthracanthida,367340,order,diploconidae,family
arthracanthida,367338,order,dorataspidae,family
arthracanthida,367342,order,hexalaspidae,family
arthracanthida,367341,order,lithopteridae,family
arthracanthida,367339,order,phractopeltidae,family
arthrochirotida,1328161,order,palaeocucumariidae,family
arthrotardigrada,836352,order,archechiniscidae,family
arthrotardigrada,136622,order,batillipedidae,family
arthrotardigrada,136623,order,coronarctidae,family
arthrotardigrada,136625,order,halechiniscidae,family
arthrotardigrada,844347,order,neoarctidae,family
arthrotardigrada,844348,order,neostygarctidae,family
arthrotardigrada,136626,order,renaudarctidae,family
arthrotardigrada,136627,order,stygarctidae,family
arthrotardigrada,955378,order,styraconyxidae,family
arthrotardigrada,955379,order,tanarctidae,family
ascoseirales,368710,order,ascoseiraceae,family
ascoseirales,325413,order,ascoseriaceae,family
aspidodiadematoida,123162,order,aspidodiadematidae,family
aspidogastrida,103976,order,aspidogastridae,family
aspidogastrida,103977,order,multicalycidae,family
aspidogastrida,366338,order,rugogastridae,family
aspidosiphonida,1644,order,aspidosiphonidae,family
asterocladales,599590,order,asterocladaceae,family
asterolamprales,162251,order,asterolampraceae,family
astomatida,414760,order,anoplophryidae,family
astomatida,163524,order,buetschliellidae,family
astomatida,178682,order,coelosomidiidae,family
astomatida,425437,order,coelosomidiidae incertae sedis,family
astomatida,425438,order,haptophryidae,family
astomatida,425439,order,radiophryidae,family
astomatophorida,164128,order,opalinopsidae,family
astrorhizida,394178,order,astrorhizida incertae sedis,family
astrorhizida,533740,order,arboramminidae,family
