spp_gp,rank,name,parent,parent_level
echinodiscus auritus,class,echinoidea,echinodermata,phylum
echinodiscus auritus,order,clypeasteroida,echinoidea,class
echinodiscus auritus,family,astriclypeidae,clypeasteroida,order
echinodiscus auritus,genus,echinodiscus,astriclypeidae,family
echinodiscus auritus,species,echinodiscus auritus,echinodiscus,genus
echinodiscus tenuissimus,phylum,echinodermata,animalia,kingdom
echinodiscus tenuissimus,class,echinoidea,echinodermata,phylum
echinodiscus tenuissimus,order,clypeasteroida,echinoidea,class
echinodiscus tenuissimus,family,astriclypeidae,clypeasteroida,order
echinodiscus tenuissimus,genus,echinodiscus,astriclypeidae,family
echinodiscus tenuissimus,species,echinodiscus tenuissimus,echinodiscus,genus
echinoneus abnormalis,phylum,echinodermata,animalia,kingdom
echinoneus abnormalis,class,echinoidea,echinodermata,phylum
echinoneus abnormalis,order,echinoneoida,echinoidea,class
echinoneus abnormalis,family,echinoneidae,echinoneoida,order
echinoneus abnormalis,genus,echinoneus,echinoneidae,family
echinoneus abnormalis,species,echinoneus abnormalis,echinoneus,genus
echinophyllia echinata,phylum,cnidaria,animalia,kingdom
echinophyllia echinata,class,anthozoa,cnidaria,phylum
echinophyllia echinata,order,scleractinia,anthozoa,class
echinophyllia echinata,family,lobophylliidae,scleractinia,order
echinophyllia echinata,genus,echinophyllia,lobophylliidae,family
echinophyllia echinata,species,echinophyllia echinata,echinophyllia,genus
echinophyllia taylorae,phylum,cnidaria,animalia,kingdom
echinophyllia taylorae,class,anthozoa,cnidaria,phylum
echinophyllia taylorae,order,scleractinia,anthozoa,class
echinophyllia taylorae,family,lobophylliidae,scleractinia,order
echinophyllia taylorae,genus,echinophyllia,lobophylliidae,family
echinophyllia taylorae,species,echinophyllia taylorae,echinophyllia,genus
echinopora grandicula,phylum,cnidaria,animalia,kingdom
echinopora grandicula,class,anthozoa,cnidaria,phylum
echinopora grandicula,order,scleractinia,anthozoa,class
echinopora grandicula,family,merulinidae,scleractinia,order
echinopora grandicula,genus,echinopora,merulinidae,family
echinopora grandicula,species,echinopora grandicula,echinopora,genus
echinopora pacificus,phylum,cnidaria,animalia,kingdom
echinopora pacificus,class,anthozoa,cnidaria,phylum
echinopora pacificus,order,scleractinia,anthozoa,class
echinopora pacificus,family,merulinidae,scleractinia,order
echinopora pacificus,genus,echinopora,merulinidae,family
echinopora pacificus,species,echinopora pacificus,echinopora,genus
echinozone quadrispinosa,phylum,arthropoda,animalia,kingdom
echinozone quadrispinosa,class,malacostraca,arthropoda,phylum
echinozone quadrispinosa,order,isopoda,malacostraca,class
echinozone quadrispinosa,family,munnopsidae,isopoda,order
echinozone quadrispinosa,genus,echinozone,munnopsidae,family
echinozone quadrispinosa,species,echinozone quadrispinosa,echinozone,genus
echinus affinis,phylum,echinodermata,animalia,kingdom
echinus affinis,class,echinoidea,echinodermata,phylum
echinus affinis,order,camarodonta,echinoidea,class
echinus affinis,family,echinidae,camarodonta,order
echinus affinis,genus,echinus,echinidae,family
echinus affinis,species,echinus affinis,echinus,genus
echinus alexandri,phylum,echinodermata,animalia,kingdom
echinus alexandri,class,echinoidea,echinodermata,phylum
echinus alexandri,order,camarodonta,echinoidea,class
echinus alexandri,family,echinidae,camarodonta,order
echinus alexandri,genus,echinus,echinidae,family
echinus alexandri,species,echinus alexandri,echinus,genus
echinus elegans,phylum,echinodermata,animalia,kingdom
echinus elegans,class,echinoidea,echinodermata,phylum
echinus elegans,order,camarodonta,echinoidea,class
echinus elegans,family,echinidae,camarodonta,order
echinus elegans,genus,echinus,echinidae,family
echinus elegans,species,echinus elegans,echinus,genus
echinus gracilis,phylum,echinodermata,animalia,kingdom
echinus gracilis,class,echinoidea,echinodermata,phylum
echinus gracilis,order,camarodonta,echinoidea,class
echinus gracilis,family,echinidae,camarodonta,order
echinus gracilis,genus,echinus,echinidae,family
echinus gracilis,species,echinus gracilis,echinus,genus
ecklonia radiata,phylum,ochrophyta,chromista,kingdom
ecklonia radiata,class,phaeophyceae,ochrophyta,phylum
ecklonia radiata,order,laminariales,phaeophyceae,class
ecklonia radiata,family,lessoniaceae,laminariales,order
ecklonia radiata,genus,ecklonia,lessoniaceae,family
ecklonia radiata,species,ecklonia radiata,ecklonia,genus
edentoliparis terraenovae,phylum,chordata,animalia,kingdom
edentoliparis terraenovae,class,actinopterygii,chordata,phylum
edentoliparis terraenovae,order,perciformes,actinopterygii,class
edentoliparis terraenovae,family,liparidae,perciformes,order
edentoliparis terraenovae,genus,edentoliparis,liparidae,family
edentoliparis terraenovae,species,edentoliparis terraenovae,edentoliparis,genus
edenttellina typica,phylum,mollusca,animalia,kingdom
edenttellina typica,class,gastropoda,mollusca,phylum
edenttellina typica,order,sacoglossa,gastropoda,class
edenttellina typica,family,juliidae,sacoglossa,order
edenttellina typica,genus,edenttellina,juliidae,family
edenttellina typica,species,edenttellina typica,edenttellina,genus
edwardsia intermedia,phylum,cnidaria,animalia,kingdom
edwardsia intermedia,class,anthozoa,cnidaria,phylum
edwardsia intermedia,order,actiniaria,anthozoa,class
edwardsia intermedia,family,edwardsiidae,actiniaria,order
edwardsia intermedia,genus,edwardsia,edwardsiidae,family
edwardsia intermedia,species,edwardsia intermedia,edwardsia,genus
edwardsianthus pudica,phylum,cnidaria,animalia,kingdom
edwardsianthus pudica,class,anthozoa,cnidaria,phylum
edwardsianthus pudica,order,actiniaria,anthozoa,class
edwardsianthus pudica,family,edwardsiidae,actiniaria,order
edwardsianthus pudica,genus,edwardsianthus,edwardsiidae,family
edwardsianthus pudica,species,edwardsianthus pudica,edwardsianthus,genus
egila virginiae,phylum,mollusca,animalia,kingdom
egila virginiae,class,gastropoda,mollusca,phylum
egila virginiae,order,heterostropha,gastropoda,class
egila virginiae,family,pyramidellidae,heterostropha,order
egila virginiae,genus,egila,pyramidellidae,family
egila virginiae,species,egila virginiae,egila,genus
eglisia tricarinata,phylum,mollusca,animalia,kingdom
eglisia tricarinata,class,gastropoda,mollusca,phylum
eglisia tricarinata,order,[unassigned] caenogastropoda,gastropoda,class
eglisia tricarinata,family,epitoniidae,[unassigned] caenogastropoda,order
eglisia tricarinata,genus,eglisia,epitoniidae,family
eglisia tricarinata,species,eglisia tricarinata,eglisia,genus
eiconaxius rotundifrons,phylum,arthropoda,animalia,kingdom
eiconaxius rotundifrons,class,malacostraca,arthropoda,phylum
eiconaxius rotundifrons,order,decapoda,malacostraca,class
eiconaxius rotundifrons,family,axiidae,decapoda,order
eiconaxius rotundifrons,genus,eiconaxius,axiidae,family
eiconaxius rotundifrons,species,eiconaxius rotundifrons,eiconaxius,genus
electra tenella,phylum,bryozoa,animalia,kingdom
electra tenella,class,gymnolaemata,bryozoa,phylum
electra tenella,order,cheilostomatida,gymnolaemata,class
electra tenella,family,electridae,cheilostomatida,order
electra tenella,genus,electra,electridae,family
electra tenella,species,electra tenella,electra,genus
electroma ovata,phylum,mollusca,animalia,kingdom
electroma ovata,class,bivalvia,mollusca,phylum
electroma ovata,order,ostreida,bivalvia,class
electroma ovata,family,vulsellidae,ostreida,order
electroma ovata,genus,electroma,vulsellidae,family
electroma ovata,species,electroma ovata,electroma,genus
electroma physoides,phylum,mollusca,animalia,kingdom
electroma physoides,class,bivalvia,mollusca,phylum
electroma physoides,order,ostreida,bivalvia,class
electroma physoides,family,vulsellidae,ostreida,order
electroma physoides,genus,electroma,vulsellidae,family
electroma physoides,species,electroma physoides,electroma,genus
ellisella barbadensis,phylum,cnidaria,animalia,kingdom
ellisella barbadensis,class,anthozoa,cnidaria,phylum
ellisella barbadensis,order,alcyonacea,anthozoa,class
ellisella barbadensis,family,ellisellidae,alcyonacea,order
ellisella barbadensis,genus,ellisella,ellisellidae,family
ellisella barbadensis,species,ellisella barbadensis,ellisella,genus
elminius kingii,phylum,arthropoda,animalia,kingdom
elminius kingii,class,thecostraca,arthropoda,phylum
elminius kingii,order,balanomorpha,thecostraca,class
elminius kingii,family,elminiidae,balanomorpha,order
elminius kingii,genus,elminius,elminiidae,family
elminius kingii,species,elminius kingii,elminius,genus
elphidium advenum,phylum,foraminifera,chromista,kingdom
elphidium advenum,class,globothalamea,foraminifera,phylum
elphidium advenum,order,rotaliida,globothalamea,class
elphidium advenum,family,elphidiidae,rotaliida,order
elphidium advenum,genus,elphidium,elphidiidae,family
elphidium advenum,species,elphidium advenum,elphidium,genus
elphidium articulatum,phylum,foraminifera,chromista,kingdom
elphidium articulatum,class,globothalamea,foraminifera,phylum
elphidium articulatum,order,rotaliida,globothalamea,class
elphidium articulatum,family,elphidiidae,rotaliida,order
elphidium articulatum,genus,elphidium,elphidiidae,family
elphidium articulatum,species,elphidium articulatum,elphidium,genus
elphidium bartletti,phylum,foraminifera,chromista,kingdom
elphidium bartletti,class,globothalamea,foraminifera,phylum
elphidium bartletti,order,rotaliida,globothalamea,class
elphidium bartletti,family,elphidiidae,rotaliida,order
elphidium bartletti,genus,elphidium,elphidiidae,family
elphidium bartletti,species,elphidium bartletti,elphidium,genus
elphidium crispum,phylum,foraminifera,chromista,kingdom
elphidium crispum,class,globothalamea,foraminifera,phylum
elphidium crispum,order,rotaliida,globothalamea,class
elphidium crispum,family,elphidiidae,rotaliida,order
elphidium crispum,genus,elphidium,elphidiidae,family
elphidium crispum,species,elphidium crispum,elphidium,genus
elysia australis,phylum,mollusca,animalia,kingdom
elysia australis,class,gastropoda,mollusca,phylum
elysia australis,order,sacoglossa,gastropoda,class
elysia australis,family,plakobranchidae,sacoglossa,order
elysia australis,genus,elysia,plakobranchidae,family
elysia australis,species,elysia australis,elysia,genus
elysia coodgeensis,phylum,mollusca,animalia,kingdom
elysia coodgeensis,class,gastropoda,mollusca,phylum
elysia coodgeensis,order,sacoglossa,gastropoda,class
elysia coodgeensis,family,plakobranchidae,sacoglossa,order
elysia coodgeensis,genus,elysia,plakobranchidae,family
elysia coodgeensis,species,elysia coodgeensis,elysia,genus
elysia cornigera,phylum,mollusca,animalia,kingdom
elysia cornigera,class,gastropoda,mollusca,phylum
elysia cornigera,order,sacoglossa,gastropoda,class
elysia cornigera,family,plakobranchidae,sacoglossa,order
elysia cornigera,genus,elysia,plakobranchidae,family
elysia cornigera,species,elysia cornigera,elysia,genus
elysia crispata,phylum,mollusca,animalia,kingdom
elysia crispata,class,gastropoda,mollusca,phylum
elysia crispata,order,sacoglossa,gastropoda,class
elysia crispata,family,plakobranchidae,sacoglossa,order
elysia crispata,genus,elysia,plakobranchidae,family
elysia crispata,species,elysia crispata,elysia,genus
elysia diomedea,phylum,mollusca,animalia,kingdom
elysia diomedea,class,gastropoda,mollusca,phylum
elysia diomedea,order,sacoglossa,gastropoda,class
elysia diomedea,family,plakobranchidae,sacoglossa,order
elysia diomedea,genus,elysia,plakobranchidae,family
elysia diomedea,species,elysia diomedea,elysia,genus
elysia flava,phylum,mollusca,animalia,kingdom
elysia flava,class,gastropoda,mollusca,phylum
elysia flava,order,sacoglossa,gastropoda,class
elysia flava,family,plakobranchidae,sacoglossa,order
elysia flava,genus,elysia,plakobranchidae,family
elysia flava,species,elysia flava,elysia,genus
elysia furvacauda,phylum,mollusca,animalia,kingdom
elysia furvacauda,class,gastropoda,mollusca,phylum
elysia furvacauda,order,sacoglossa,gastropoda,class
elysia furvacauda,family,plakobranchidae,sacoglossa,order
elysia furvacauda,genus,elysia,plakobranchidae,family
elysia furvacauda,species,elysia furvacauda,elysia,genus
elysia maoria,phylum,mollusca,animalia,kingdom
elysia maoria,class,gastropoda,mollusca,phylum
elysia maoria,order,sacoglossa,gastropoda,class
elysia maoria,family,plakobranchidae,sacoglossa,order
elysia maoria,genus,elysia,plakobranchidae,family
elysia maoria,species,elysia maoria,elysia,genus
elysia moebii,phylum,mollusca,animalia,kingdom
elysia moebii,class,gastropoda,mollusca,phylum
elysia moebii,order,sacoglossa,gastropoda,class
elysia moebii,family,plakobranchidae,sacoglossa,order
elysia moebii,genus,elysia,plakobranchidae,family
elysia moebii,species,elysia moebii,elysia,genus
elysia ornata,phylum,mollusca,animalia,kingdom
elysia ornata,class,gastropoda,mollusca,phylum
elysia ornata,order,sacoglossa,gastropoda,class
elysia ornata,family,plakobranchidae,sacoglossa,order
elysia ornata,genus,elysia,plakobranchidae,family
elysia ornata,species,elysia ornata,elysia,genus
elysia papillosa,phylum,mollusca,animalia,kingdom
elysia papillosa,class,gastropoda,mollusca,phylum
elysia papillosa,order,sacoglossa,gastropoda,class
elysia papillosa,family,plakobranchidae,sacoglossa,order
elysia papillosa,genus,elysia,plakobranchidae,family
elysia papillosa,species,elysia papillosa,elysia,genus
elysia patina,phylum,mollusca,animalia,kingdom
elysia patina,class,gastropoda,mollusca,phylum
elysia patina,order,sacoglossa,gastropoda,class
elysia patina,family,plakobranchidae,sacoglossa,order
elysia patina,genus,elysia,plakobranchidae,family
elysia patina,species,elysia patina,elysia,genus
elysia rufescens,phylum,mollusca,animalia,kingdom
elysia rufescens,class,gastropoda,mollusca,phylum
elysia rufescens,order,sacoglossa,gastropoda,class
elysia rufescens,family,plakobranchidae,sacoglossa,order
elysia rufescens,genus,elysia,plakobranchidae,family
elysia rufescens,species,elysia rufescens,elysia,genus
elysia serca,phylum,mollusca,animalia,kingdom
elysia serca,class,gastropoda,mollusca,phylum
elysia serca,order,sacoglossa,gastropoda,class
elysia serca,family,plakobranchidae,sacoglossa,order
elysia serca,genus,elysia,plakobranchidae,family
elysia serca,species,elysia serca,elysia,genus
elysia subornata,phylum,mollusca,animalia,kingdom
elysia subornata,class,gastropoda,mollusca,phylum
elysia subornata,order,sacoglossa,gastropoda,class
elysia subornata,family,plakobranchidae,sacoglossa,order
elysia subornata,genus,elysia,plakobranchidae,family
elysia subornata,species,elysia subornata,elysia,genus
elysia tomentosa,phylum,mollusca,animalia,kingdom
elysia tomentosa,class,gastropoda,mollusca,phylum
elysia tomentosa,order,sacoglossa,gastropoda,class
elysia tomentosa,family,plakobranchidae,sacoglossa,order
elysia tomentosa,genus,elysia,plakobranchidae,family
elysia tomentosa,species,elysia tomentosa,elysia,genus
elysia tuca,phylum,mollusca,animalia,kingdom
elysia tuca,class,gastropoda,mollusca,phylum
elysia tuca,order,sacoglossa,gastropoda,class
elysia tuca,family,plakobranchidae,sacoglossa,order
elysia tuca,genus,elysia,plakobranchidae,family
elysia tuca,species,elysia tuca,elysia,genus
elysia zuleicae,phylum,mollusca,animalia,kingdom
elysia zuleicae,class,gastropoda,mollusca,phylum
elysia zuleicae,order,opisthobranchia,gastropoda,class
elysia zuleicae,family,plakobranchidae,opisthobranchia,order
elysia zuleicae,genus,elysia,plakobranchidae,family
elysia zuleicae,species,elysia zuleicae,elysia,genus
emarginella incisula,phylum,mollusca,animalia,kingdom
emarginella incisula,class,gastropoda,mollusca,phylum
emarginella incisula,order,lepetellida,gastropoda,class
emarginella incisula,family,fissurellidae,lepetellida,order
emarginella incisula,genus,emarginella,fissurellidae,family
emarginella incisula,species,emarginella incisula,emarginella,genus
emarginula conica,phylum,mollusca,animalia,kingdom
emarginula conica,class,gastropoda,mollusca,phylum
emarginula conica,order,lepetellida,gastropoda,class
emarginula conica,family,fissurellidae,lepetellida,order
emarginula conica,genus,emarginula,fissurellidae,family
emarginula conica,species,emarginula conica,emarginula,genus
emarginula dentigera,phylum,mollusca,animalia,kingdom
emarginula dentigera,class,gastropoda,mollusca,phylum
emarginula dentigera,order,lepetellida,gastropoda,class
emarginula dentigera,family,fissurellidae,lepetellida,order
emarginula dentigera,genus,emarginula,fissurellidae,family
emarginula dentigera,species,emarginula dentigera,emarginula,genus
emarginula pumila,phylum,mollusca,animalia,kingdom
emarginula pumila,class,gastropoda,mollusca,phylum
emarginula pumila,order,lepetellida,gastropoda,class
emarginula pumila,family,fissurellidae,lepetellida,order
