am_sid,species,trait,trait_value
Fis-131212,callechelys lutea,thermal_tolerance_range,0-2.5C
Fis-32387,nettastoma solitarium,thermal_tolerance_range,>15C
Fis-9972,ecsenius midas,thermal_tolerance_range,2.5-5C
Fis-32418,ecsenius lineatus,thermal_tolerance_range,2.5-5C
Fis-32431,cirrhilabrus rubrimarginatus,thermal_tolerance_range,2.5-5C
Fis-26633,ariosoma mauritianum,thermal_tolerance_range,>15C
Fis-32491,cynoglossus lachneri,thermal_tolerance_range,0-2.5C
Fis-32494,symphurus ocellatus,thermal_tolerance_range,>15C
Fis-32497,thyrsitoides marleyi,thermal_tolerance_range,7.5-10C
Fis-26655,hyporhamphus affinis,thermal_tolerance_range,2.5-5C
Fis-26659,kuhlia rupestris,thermal_tolerance_range,5-7.5C
Fis-26660,bodianus leucosticticus,thermal_tolerance_range,2.5-5C
Fis-19204,microphis millepunctatus,thermal_tolerance_range,2.5-5C
Fis-26672,bodianus perditio,thermal_tolerance_range,5-7.5C
Fis-26693,sebastapistes ballieui,thermal_tolerance_range,0-2.5C
Fis-32525,pterois sphex,thermal_tolerance_range,0-2.5C
Fis-32531,chaetodon madagaskariensis,thermal_tolerance_range,2.5-5C
Fis-32532,chaetodon xanthocephalus,thermal_tolerance_range,2.5-5C
Fis-32537,synchiropus stellatus,thermal_tolerance_range,2.5-5C
Fis-26705,plectroglyphidodon sindonis,thermal_tolerance_range,0-2.5C
Fis-32552,myripristis seychellensis,thermal_tolerance_range,0-2.5C
Fis-32554,coris venusta,thermal_tolerance_range,0-2.5C
Fis-26714,plagiotremus goslinei,thermal_tolerance_range,0-2.5C
Fis-32562,thamnaconus fajardoi,thermal_tolerance_range,2.5-5C
Fis-26726,thamnaconus modestoides,thermal_tolerance_range,5-7.5C
Fis-172584,osteomugil robustus,thermal_tolerance_range,7.5-10C
Fis-26761,scarus caudofasciatus,thermal_tolerance_range,2.5-5C
Fis-32590,sphyraena qenie,thermal_tolerance_range,2.5-5C
Fis-32595,uranoscopus archionema,thermal_tolerance_range,5-7.5C
Fis-32626,plesiops coeruleolineatus,thermal_tolerance_range,2.5-5C
