iucn_sid,sciname,worms_name,in_am,in_am_valid,in_vuln,mapped
13242,mesoplodon bowdoini,mesoplodon bowdoini,TRUE,TRUE,TRUE,FALSE
13243,mesoplodon carlhubbsi,mesoplodon carlhubbsi,TRUE,TRUE,TRUE,FALSE
13244,mesoplodon densirostris,mesoplodon densirostris,TRUE,TRUE,TRUE,TRUE
13245,mesoplodon europaeus,mesoplodon europaeus,TRUE,TRUE,TRUE,TRUE
13247,mesoplodon grayi,mesoplodon grayi,TRUE,TRUE,TRUE,TRUE
13248,mesoplodon hectori,mesoplodon hectori,TRUE,TRUE,TRUE,FALSE
13249,mesoplodon layardii,mesoplodon layardii,TRUE,TRUE,TRUE,TRUE
13250,mesoplodon mirus,mesoplodon mirus,TRUE,TRUE,TRUE,TRUE
13251,mesoplodon peruvianus,mesoplodon peruvianus,TRUE,TRUE,TRUE,TRUE
13252,mesoplodon stejnegeri,mesoplodon stejnegeri,TRUE,TRUE,TRUE,TRUE
13581,mirounga angustirostris,mirounga angustirostris,TRUE,TRUE,TRUE,TRUE
13583,mirounga leonina,mirounga leonina,TRUE,TRUE,TRUE,TRUE
13653,monachus monachus,monachus monachus,TRUE,TRUE,TRUE,TRUE
13654,neomonachus schauinslandi,no match,FALSE,FALSE,FALSE,TRUE
13655,neomonachus tropicalis,no match,FALSE,FALSE,FALSE,FALSE
13704,monodon monoceros,monodon monoceros,TRUE,TRUE,TRUE,TRUE
13852,mordacia lapicida,mordacia lapicida,FALSE,FALSE,FALSE,FALSE
13932,muricopsis mariangelae,muricopsis rutila mariangelae,FALSE,FALSE,FALSE,FALSE
13933,muricopsis matildae,muricopsis matildeae,FALSE,FALSE,TRUE,FALSE
13934,muricopsis principensis,muricopsis principensis,FALSE,FALSE,TRUE,FALSE
14048,mycteroperca cidi,mycteroperca cidi,FALSE,FALSE,TRUE,TRUE
14049,mycteroperca jordani,mycteroperca jordani,TRUE,TRUE,TRUE,TRUE
14050,mycteroperca microlepis,mycteroperca microlepis,TRUE,TRUE,TRUE,TRUE
14051,mycteroperca olfax,mycteroperca olfax,TRUE,TRUE,TRUE,TRUE
14052,mycteroperca prionura,mycteroperca prionura,TRUE,TRUE,TRUE,TRUE
14053,mycteroperca rosacea,mycteroperca rosacea,TRUE,TRUE,TRUE,TRUE
14054,mycteroperca rubra,mycteroperca rubra,TRUE,TRUE,TRUE,TRUE
14214,myoxocephalus quadricornis,myoxocephalus quadricornis,TRUE,TRUE,TRUE,FALSE
14264,myxus capensis,pseudomyxus capensis,TRUE,TRUE,TRUE,FALSE
14363,natator depressus,natator depressa,TRUE,TRUE,TRUE,FALSE
14500,nematostella vectensis,nematostella vectensis,FALSE,FALSE,TRUE,FALSE
14549,neophoca cinerea,neophoca cinerea,TRUE,TRUE,TRUE,TRUE
14561,neorapana grandis,neorapana grandis,FALSE,FALSE,TRUE,FALSE
14562,neosalanx reganius,neosalanx reganius,FALSE,FALSE,TRUE,FALSE
14831,nodipecten magnificus,nodipecten magnificus,TRUE,TRUE,TRUE,FALSE
15106,odobenus rosmarus,odobenus rosmarus,TRUE,TRUE,TRUE,TRUE
15108,odobenus rosmarus,odobenus rosmarus,TRUE,TRUE,TRUE,FALSE
15184,ogilbia galapagosensis,ogilbia galapagosensis,FALSE,FALSE,TRUE,FALSE
15239,oxyurichthys keiensis,oxyurichthys keiensis,FALSE,FALSE,TRUE,FALSE
15269,ommatophoca rossii,ommatophoca rossii,TRUE,TRUE,TRUE,TRUE
15270,omphalotropis albocarinata,duritropis albocarinata,FALSE,FALSE,FALSE,FALSE
15271,omphalotropis carolinensis,omphalotropis carolinensis,FALSE,FALSE,FALSE,FALSE
15273,omphalotropis cookei,omphalotropis cookei,FALSE,FALSE,FALSE,FALSE
15274,omphalotropis elegans,omphalotropis elegans,FALSE,FALSE,FALSE,FALSE
15275,omphalotropis elongatula,omphalotropis elongatula,FALSE,FALSE,FALSE,FALSE
15276,omphalotropis erosa,omphalotropis erosa,FALSE,FALSE,FALSE,FALSE
15278,omphalotropis fragilis,omphalotropis fragilis,FALSE,FALSE,FALSE,FALSE
15279,omphalotropis gracilis,omphalotropis gracilis,FALSE,FALSE,FALSE,FALSE
15280,omphalotropis guamensis,omphalotropis guamensis,FALSE,FALSE,FALSE,FALSE
