cell_id,chi,n_strs,iucn_sid,rank
3119672,0.27949,2,133459,high
3375979,0.23942999999999998,2,133459,high
3425334,0.02929,2,133459,low
3460415,0.02396,2,133459,low
3516557,0.0311,2,133459,low
3664010,0.00333,2,133459,low
3671050,4.3e-4,2,133459,low
3119672,0.27205,2,133460,high
3375979,0.23304,2,133460,high
2421179,0.22541,5,133463,high
3119672,0.27205,2,133463,high
3375979,0.23304,2,133463,high
3425334,0.0285,2,133463,low
3460415,0.02331,2,133463,low
3516557,0.03026,2,133463,low
3664010,0.00324,2,133463,low
3671050,4.1e-4,2,133463,low
2421179,0.22541,5,133464,high
3119672,0.27205,2,133464,high
3375979,0.23304,2,133464,high
3119672,0.27205,2,133467,high
3375979,0.23304,2,133467,high
2421179,0.22801,5,133468,high
3119672,0.27519,2,133468,high
3375979,0.23574,2,133468,high
3425334,0.02883,2,133468,low
3460415,0.02359,2,133468,low
3516557,0.03061,2,133468,low
3664010,0.00328,2,133468,low
3671050,4.2e-4,2,133468,low
3119672,0.27519,2,133470,high
3375979,0.23574,2,133470,high
3460415,0.02331,2,133471,low
3516557,0.03026,2,133471,low
3119672,0.27205,2,133472,high
3375979,0.23304,2,133472,high
2421179,0.22801,5,133473,high
3119672,0.27519,2,133473,high
3375979,0.23574,2,133473,high
3425334,0.02883,2,133473,low
3460415,0.02359,2,133473,low
3516557,0.03061,2,133473,low
3664010,0.00328,2,133473,low
3671050,4.2e-4,2,133473,low
2644637,0.21406999999999998,2,133476,high
2813296,0.12945,5,133476,high
2421179,0.22801,5,133478,high
3119672,0.27519,2,133478,high
3375979,0.23574,2,133478,high
3425334,0.02883,2,133478,low
3460415,0.02359,2,133478,low
3516557,0.03061,2,133478,low
3664010,0.00328,2,133478,low
3671050,4.2e-4,2,133478,low
2421179,0.22541,5,133479,high
3119672,0.27205,2,133479,high
3375979,0.23304,2,133479,high
3425334,0.0285,2,133479,low
3460415,0.02331,2,133479,low
3516557,0.03026,2,133479,low
3664010,0.00324,2,133479,low
3671050,4.1e-4,2,133479,low
2421179,0.22541,5,133482,high
3119672,0.27205,2,133482,high
3375979,0.23304,2,133482,high
3425334,0.0285,2,133482,low
3460415,0.02331,2,133482,low
3516557,0.03026,2,133482,low
3664010,0.00324,2,133482,low
3671050,4.1e-4,2,133482,low
3119672,0.27205,2,133485,high
3375979,0.23304,2,133485,high
3119672,0.27949,2,133486,high
