cell_id,impact,iucn_sid,stressor
3415625,0.0012069478085973075,11048,biomass_removal
3425334,0.03559883338214142,11048,biomass_removal
3460415,0.026875141476095588,11048,biomass_removal
3516557,7.139945282808415e-4,11048,biomass_removal
3664010,0.002614593029158766,11048,biomass_removal
3671050,6.058730693286942e-4,11048,biomass_removal
4703132,1.077012951022385e-5,11048,biomass_removal
1729761,0.009322425629078363,11048,water_temp
2421179,0.013027234347205947,11048,water_temp
2644637,0.017353078253205076,11048,water_temp
2813296,0.007512887078737187,11048,water_temp
2875691,0.005507865555219038,11048,water_temp
3033504,0.0012442228457167622,11048,water_temp
3119672,0.016391513491997932,11048,water_temp
3375979,0.015583165583751288,11048,water_temp
3380525,0.0011411980167020809,11048,water_temp
3415625,5.2833240438997224e-5,11048,water_temp
3425334,0.003457935814576075,11048,water_temp
3460415,0.002829220155635599,11048,water_temp
3516557,0.003671910370146025,11048,water_temp
3664010,3.9360765626661194e-4,11048,water_temp
3671050,5.019157890079196e-5,11048,water_temp
4703132,0.0017461385960251138,11048,water_temp
1729761,0.15539,110847130,biomass_removal
2421179,0.25825,110847130,biomass_removal
2644637,0.09576,110847130,biomass_removal
2813296,0.16671,110847130,biomass_removal
2875691,6.9e-4,110847130,biomass_removal
3033504,2.7e-4,110847130,biomass_removal
3119672,0.01527,110847130,biomass_removal
3375979,0.0298,110847130,biomass_removal
3380525,0,110847130,biomass_removal
3415625,7.7e-4,110847130,biomass_removal
3425334,0.02281,110847130,biomass_removal
3460415,0.01722,110847130,biomass_removal
3516557,4.6e-4,110847130,biomass_removal
3664010,0.00168,110847130,biomass_removal
3671050,3.9e-4,110847130,biomass_removal
4703132,1e-5,110847130,biomass_removal
2421179,0.00201,110847130,eutrophication_nutrient_pollution
2813296,7.3e-4,110847130,eutrophication_nutrient_pollution
1729761,0.00803,110847130,oa
2421179,0.01399,110847130,oa
2644637,0.00806,110847130,oa
2813296,0.00685,110847130,oa
2875691,0.00539,110847130,oa
3033504,0.0023,110847130,oa
3119672,0.0169,110847130,oa
3375979,0.01291,110847130,oa
3380525,0.00679,110847130,oa
3415625,0.00709,110847130,oa
3425334,0,110847130,oa
3460415,0,110847130,oa
3516557,0,110847130,oa
3664010,0,110847130,oa
3671050,0,110847130,oa
4703132,0.01354,110847130,oa
2421179,1.1e-4,110847130,organic_pollution
2813296,5e-5,110847130,organic_pollution
2421179,0.05131,110847130,slr
2813296,0.04975,110847130,slr
