spec_code,species,db,length_max,in_spp_table,table
61420,cobitis melanoleuca,fb,11,TRUE,popchar
61420,cobitis melanoleuca,fb,7.5,TRUE,popchar
46522,cobitis meridionalis,fb,11,TRUE,popchar
46522,cobitis meridionalis,fb,7,TRUE,popchar
65311,cobitis narentana,fb,9,TRUE,popchar
65311,cobitis narentana,fb,6,TRUE,popchar
65311,cobitis narentana,fb,10,TRUE,popchar
65311,cobitis narentana,fb,6.349999904632568,TRUE,popchar
65312,cobitis ohridana,fb,8.300000190734863,TRUE,popchar
65312,cobitis ohridana,fb,6.599999904632568,TRUE,popchar
65312,cobitis ohridana,fb,6.5,TRUE,popchar
9960,cobitis paludica,fb,9.899999618530273,TRUE,popchar
9960,cobitis paludica,fb,13,TRUE,popchar
9960,cobitis paludica,fb,7,TRUE,popchar
9960,cobitis paludica,fb,9,TRUE,popchar
63133,cobitis pontica,fb,10.100000381469727,TRUE,popchar
58647,cobitis puncticulata,fb,7.800000190734863,TRUE,popchar
46523,cobitis punctilineata,fb,10,TRUE,popchar
56128,cobitis simplicispina,fb,9.180000305175781,TRUE,popchar
56128,cobitis simplicispina,fb,9.699999809265137,TRUE,popchar
47864,cobitis sinensis,fb,10.199999809265137,TRUE,popchar
9961,cobitis stephanidisi,fb,9,TRUE,popchar
25875,cobitis strumicae,fb,11,TRUE,popchar
25875,cobitis strumicae,fb,7.5,TRUE,popchar
6378,cobitis taenia,fb,14,TRUE,popchar
6378,cobitis taenia,fb,11.5,TRUE,popchar
6378,cobitis taenia,fb,8,TRUE,popchar
6378,cobitis taenia,fb,10.399999618530273,TRUE,popchar
6378,cobitis taenia,fb,7.099999904632568,TRUE,popchar
6378,cobitis taenia,fb,9,TRUE,popchar
6378,cobitis taenia,fb,6.599999904632568,TRUE,popchar
6378,cobitis taenia,fb,6,TRUE,popchar
6378,cobitis taenia,fb,5,TRUE,popchar
6378,cobitis taenia,fb,6.5,TRUE,popchar
6378,cobitis taenia,fb,9.5,TRUE,popchar
6378,cobitis taenia,fb,7,TRUE,popchar
6378,cobitis taenia,fb,7.25,TRUE,popchar
6378,cobitis taenia,fb,9.710000038146973,TRUE,popchar
60794,cobitis tanaitica,fb,9.5,TRUE,popchar
60794,cobitis tanaitica,fb,6,TRUE,popchar
64640,cobitis taurica,fb,9.199999809265137,TRUE,popchar
64640,cobitis taurica,fb,6,TRUE,popchar
46524,cobitis trichonica,fb,8,TRUE,popchar
46524,cobitis trichonica,fb,5.5,TRUE,popchar
55331,cobitis turcica,fb,10.359999656677246,TRUE,popchar
55331,cobitis turcica,fb,12.680000305175781,TRUE,popchar
55331,cobitis turcica,fb,12.300000190734863,TRUE,popchar
46526,cobitis vardarensis,fb,9,TRUE,popchar
57016,cobitis vettonica,fb,9,TRUE,popchar
57016,cobitis vettonica,fb,6,TRUE,popchar
