orig_sciname,valid_name,aphia_id
eugnathogobius siamensis,eugnathogobius siamensis,1010650
eunice antennata,leodice antennata,336660
flabelligera diplochaitos,flabelligera diplochaitus,130105
flabellina amabilis,microchlamylla amabilis,1048135
flabellina browni,fjordia browni,1047412
flabellina falklandica,itaxia falklandica,1048131
flabellina iodinea,flabellinopsis iodinea,1047483
flabellina pellucida,carronella pellucida,1048787
flabellina pricei,apata pricei,1047455
flabellina rubrolineata,coryphellina rubrolineata,534029
flabellina salmonacea,ziminella salmonacea,1048803
flabellina trilineata,orienthella trilineata,1049566
flabellina trophina,himatina trophina,1047441
flabellina verrucosa,coryphella verrucosa,139987
formosania lacustris,formosania lacustris,1026435
fundulus notatus,fundulus notatus,1020951
gafrarium tumidum,gafrarium pectinatum,141914
galaxias anomalus,galaxias anomalus,719052
galaxias auratus,galaxias auratus,1019889
galaxias depressiceps,galaxias depressiceps,1384091
galaxias eldoni,galaxias eldoni,1010605
galaxias fontanus,galaxias fontanus,991210
galaxias johnstoni,galaxias johnstoni,404141
galaxias occidentalis,galaxias occidentalis,1019000
galaxias olidus,galaxias olidus,991212
galaxias parvus,galaxias parvus,991213
galaxias paucispondylus,galaxias paucispondylus,1014976
galaxias pedderensis,galaxias pedderensis,991215
galaxias prognathus,galaxias prognathus,1014831
galaxias rostratus,galaxias rostratus,1018435
galaxias vulgaris,galaxias vulgaris,1014254
galaxias zebratus,galaxias zebratus,1017092
galaxiella munda,galaxiella munda,1012572
galaxiella nigrostriata,galaxiella nigrostriata,1049483
galaxiella pusilla,galaxiella pusilla,991217
garra cambodgiensis,garra cambodgiensis,1014947
garra ceylonensis,garra ceylonensis,1021075
garra dembeensis,garra dembeensis,1022598
garra fasciacauda,garra fasciacauda,1015041
garra fuliginosa,garra fuliginosa,1015483
garra ghorensis,garra ghorensis,1524184
garra gotyla,garra gotyla,1026576
garra micropulvinus,garra micropulvinus,1009252
garra mullya,garra mullya,1026398
garra nasuta,garra napata,1016837
garra rufa,garra rufa,1312572
gasterosteus microcephalus,gasterosteus microcephalus,1021572
geophagus steindachneri,geophagus steindachneri,1014603
gibbula umbilicalis,steromphala umbilicalis,1039850
glossodoris norrisi,felimida norrisi,597406
glossogobius concavifrons,glossogobius concavifrons,991219
glossogobius koragensis,glossogobius koragensis,1015263
glyptothorax fuscus,glyptothorax fuscus,1015487
glyptothorax lampris,glyptothorax lampris,1015488
glyptothorax laosensis,glyptothorax laosensis,1015489
glyptothorax major,glyptothorax major,1018612
gobio lozanoi,gobio lozanoi,723432
gobio soldatovi,gobio soldatovi,1016070
gobiomorphus breviceps,gobiomorphus breviceps,1014935
golfingia margaritacea,golfingia (golfingia) margaritacea,175027
goniistius gibbosus,cheilodactylus gibbosus,311545
goniistius quadricornis,cheilodactylus quadricornis,311550
goniistius vittatus,cheilodactylus vittatus,311553
goniistius zonatus,cheilodactylus zonatus,311555
grandidierella bonnieri,grandidierella megnae,488814
gygis microrhyncha,gygis alba microrhyncha,567428
gymnocephalus acerina,gymnocephalus acerina,723433
gymnocephalus baloni,gymnocephalus baloni,1012846
gymnocephalus schraetser,gymnocephalus schraetser,367606
gymnochanda flamea,gymnochanda flamea,1010860
halicryptus spinulosus,halicryptus spinulosus,101156
helice leachi,pseudohelice subquadrata,444752
hemibagrus planiceps,hemibagrus planiceps,1022355
hemibagrus sabanus,hemibagrus sabanus,1013873
gomphina veneriformis,no match,NA
hemibagrus wyckii,hemibagrus wyckii,1021363
hemibagrus wyckioides,hemibagrus wyckioides,1014275
hemichromis elongatus,hemichromis elongatus,1021151
hemichromis fasciatus,hemichromis fasciatus,581701
hemitrygon laosensis,hemitrygon laosensis,1524126
heros efasciatus,heros efasciatus,1017024
hippasteria spinosa,hippasteria phrygiana,124043
holothuria arguinensis,holothuria (roweothuria) arguinensis,125184
holothuria atra,holothuria (halodeima) atra,148748
holothuria cinerascens,holothuria (semperothuria) cinerascens,210846
holothuria edulis,holothuria (halodeima) edulis,210882
holothuria hilla,holothuria (mertensiothuria) hilla,529402
holothuria impatiens,holothuria (thymiosycia) impatiens,125185
holothuria leucospilota,holothuria (mertensiothuria) leucospilota,210881
holothuria pardalis,holothuria (lessonothuria) pardalis,210893
holothuria parva,holothuria (selenkothuria) parva,210850
holothuria scabra,holothuria (metriatyla) scabra,210813
hucho bleekeri,hucho bleekeri,1015477
hucho hucho,hucho hucho,1023062
hybognathus argyritis,hybognathus argyritis,1021388
hybognathus hankinsoni,hybognathus hankinsoni,592843
hybognathus regius,hybognathus regius,1020606
hydatina amplustre,aplustrum amplustre,215418
hydrophis caerulescens,polyodontognathus caerulescens,407689
hypostomus garmani,hypostomus garmani,1470723
hypostomus hondae,hypostomus hondae,1525966
hypostomus plecostomus,hypostomus plecostomus,862544
hypostomus punctatus,hypostomus punctatus,1022286
hypostomus robinii,hypostomus robinii,1022292
hypseleotris compressa,hypseleotris compressa,991269
hypseleotris galii,hypseleotris galii,1369475
hypseleotris klunzingeri,hypseleotris klunzingeri,1468455
hypselodoris ghiselini,felimare californiensis,597520
hypsicomus phaeotenia,notaulax phaeotaenia,130935
ictalurus punctatus,ictalurus punctatus,465537
jaera albifrons,jaera (jaera) albifrons,264171
jasus novaehollandiae,jasus edwardsii,382879
jasus tristani,jasus paulensis,246323
keratella quadrata,keratella quadrata,134992
knipowitschia punctatissima,knipowitschia punctatissima,1021039
kryptopterus bicirrhis,kryptopterus bicirrhis,1022390
kryptopterus cheveyi,kryptopterus cheveyi,1014864
kryptopterus limpok,kryptopterus limpok,1021720
kryptopterus macrocephalus,kryptopterus macrocephalus,1419649
kryptopterus paraschilbeides,kryptopterus paraschilbeides,1009594
kryptopterus schilbeides,kryptopterus schilbeides,1419638
labeo altivelis,labeo altivelis,1021700
labeo capensis,labeo capensis,1019406
labeo chrysophekadion,labeo chrysophekadion,1020116
labeo cylindricus,labeo cylindricus,1016913
labeo dussumieri,labeo dussumieri,1022166
labeo erythropterus,labeo erythropterus,1015344
labeo fimbriatus,labeo fimbriatus,1022460
labeo fisheri,labeo fisheri,1015999
labeo forskalii,labeo forskalii,1022581
labeo lunatus,labeo lunatus,1013609
labeo mesops,labeo mesops,1016216
labeo niloticus,labeo niloticus,1021956
labeo pangusia,labeo pangusia,1026589
labeo parvus,labeo parvus,1013813
labeo pierrei,labeo pierrei,1015064
labeo rosae,labeo rosae,1017093
labeo rubromaculatus,labeo rubromaculatus,1017367
labeo seeberi,labeo seeberi,1017469
labeo umbratus,labeo umbratus,1017481
labeo victorianus,labeo victorianus,1018659
lampetra richardsoni,lampetra richardsoni,592841
lapemis curtus,hydrophis curtus,1377536
larus armenicus,larus armenicus,343904
larus bulleri,larus bulleri,225948
larus genei,chroicocephalus genei,1488274
larus relictus,larus relictus,343918
larus saundersi,larus saundersi,343919
larus scopulinus,larus scopulinus,225913
larus glaucoides thayeri,no match,NA
larus serranus,larus serranus,343921
larus thayeri,larus thayeri,343922
lates angustifrons,lates angustifrons,1018405
lates mariae,lates mariae,1017918
lates microlepis,lates microlepis,1019150
lates niloticus,lates niloticus,218165
lates stappersii,lates stappersii,1525847
laubuka caeruleostigmata,laubuka caeruleostigmata,1026698
leiopotherapon aheneus,leiopotherapon aheneus,1013644
leiopotherapon macrolepis,leiopotherapon macrolepis,1012559
leiopotherapon plumbeus,leiopotherapon plumbeus,1020693
lepas anatifera,lepas (anatifa) anatifera,733346
lepas anserifera,lepas (anatifa) anserifera,733347
lepidocephalichthys birmanicus,lepidocephalichthys birmanicus,1014311
lepidocephalichthys hasselti,lepidocephalichthys hasselti,1014911
lepidocephalichthys thermalis,lepidocephalichthys thermalis,1021849
lepomis auritus,lepomis auritus,151291
lepomis cyanellus,lepomis cyanellus,1022845
lepomis gulosus,lepomis gulosus,1044805
lepomis humilis,lepomis humilis,1042354
lepomis macrochirus,lepomis macrochirus,1022846
lepomis megalotis,lepomis megalotis,1042658
leptasterias polaris,leptasterias (hexasterias) polaris,125154
leptobotia elongata,leptobotia elongata,1016331
lauridromia indica,no match,NA
lethenteron appendix,lethenteron appendix,845581
lethenteron kessleri,lethenteron kessleri,1018532
lethenteron zanandreai,lethenteron zanandreai,1524939
leuciscus baicalensis,leuciscus baicalensis,1020385
leuciscus merzbacheri,leuciscus merzbacheri,1525986
leuciscus waleckii,leuciscus waleckii,1026693
limia melanogaster,limia melanogaster,1020915
lineus bilineatus,siphonenteron bilineatum,177726
liocranchia reinhardti,liocranchia reinhardtii,341818
lobatus gigas,aliger gigas,1429769
lobodon carcinophaga,lobodon carcinophagus,344008
loligo media,alloteuthis subulata,153131
loliolus beka,loliolus (nipponololigo) beka,574532
lolliguncula brevis,lolliguncula (lolliguncula) brevis,574509
