spec_code,species,db,length_max,in_spp_table,table
86651,marcia hiantina,slb,5.53,TRUE,poplw
83540,matuta planipes,slb,2.93,TRUE,poplw
83540,matuta planipes,slb,3.23,TRUE,poplw
83540,matuta planipes,slb,5.1,TRUE,poplw
83540,matuta planipes,slb,6.8,TRUE,poplw
83540,matuta planipes,slb,4.8,TRUE,poplw
83540,matuta planipes,slb,5.3,TRUE,poplw
83540,matuta planipes,slb,11.5,TRUE,poplw
69008,megaptera novaeangliae,slb,1380,TRUE,poplw
14825,melicertus kerathurus,slb,6.5,TRUE,poplw
14922,melicertus latisulcatus,slb,4.9,TRUE,poplw
14922,melicertus latisulcatus,slb,5.88,TRUE,poplw
14922,melicertus latisulcatus,slb,19.4,TRUE,poplw
14922,melicertus latisulcatus,slb,21.2,TRUE,poplw
14826,melicertus longistylus,slb,3.3,TRUE,poplw
14826,melicertus longistylus,slb,3.5,TRUE,poplw
14827,melicertus marginatus,slb,4.86,TRUE,poplw
14827,melicertus marginatus,slb,5.86,TRUE,poplw
25711,menippe nodifrons,slb,6.836,TRUE,poplw
25711,menippe nodifrons,slb,6.75,TRUE,poplw
83550,menippe rumphii,slb,5.634,TRUE,poplw
48853,mercenaria mercenaria,slb,11.1,TRUE,poplw
14789,metanephrops andamanicus,slb,7.4,TRUE,poplw
14789,metanephrops andamanicus,slb,22.9,TRUE,poplw
14789,metanephrops andamanicus,slb,6.9,TRUE,poplw
14789,metanephrops andamanicus,slb,21.2,TRUE,poplw
14799,metanephrops rubellus,slb,9.13,TRUE,poplw
14799,metanephrops rubellus,slb,10.14,TRUE,poplw
14799,metanephrops rubellus,slb,17.7,TRUE,poplw
14799,metanephrops rubellus,slb,19.2,TRUE,poplw
25362,metapenaeopsis barbata,slb,10,TRUE,poplw
25362,metapenaeopsis barbata,slb,11.2,TRUE,poplw
25362,metapenaeopsis barbata,slb,2.534,TRUE,poplw
25362,metapenaeopsis barbata,slb,2.26,TRUE,poplw
25373,metapenaeopsis stridulans,slb,12.5,TRUE,poplw
25373,metapenaeopsis stridulans,slb,11.5,TRUE,poplw
25396,metapenaeus affinis,slb,10.5,TRUE,poplw
25396,metapenaeus affinis,slb,11.8,TRUE,poplw
25396,metapenaeus affinis,slb,2.62,TRUE,poplw
25396,metapenaeus affinis,slb,3.25,TRUE,poplw
25396,metapenaeus affinis,slb,17.6,TRUE,poplw
25396,metapenaeus affinis,slb,19.8,TRUE,poplw
25403,metapenaeus dobsoni,slb,10.9,TRUE,poplw
25403,metapenaeus dobsoni,slb,12,TRUE,poplw
25403,metapenaeus dobsoni,slb,13,TRUE,poplw
25234,metapenaeus ensis,slb,9.8,TRUE,poplw
25234,metapenaeus ensis,slb,11.3,TRUE,poplw
25234,metapenaeus ensis,slb,2.88,TRUE,poplw
25234,metapenaeus ensis,slb,3.63,TRUE,poplw
