orig_sciname,valid_name,aphia_id
chondrostoma oxyrhynchum,chondrostoma oxyrhynchum,1017251
chondrostoma phoxinus,chondrostoma phoxinus,1022127
chondrostoma prespense,chondrostoma prespense,1016505
chondrostoma regium,chondrostoma regium,1418527
chondrostoma scodrense,chondrostoma scodrense,1011698
chondrostoma soetta,chondrostoma soetta,1022106
chondrostoma toros,chondrostoma toros,1385220
chondrostoma vardarense,chondrostoma vardarense,1016073
choristodon cancellatus,choristodon cancellatus,532603
chriolepis minutillus,chriolepis minutilla,280171
chromatonema hertwigi,chromatonema rubrum,174252
chromodoris albopunctata,goniobranchus albopunctatus,565620
chromodoris annulata,goniobranchus annulatus,597348
chromodoris baumanni,felimida baumanni,597395
chromodoris binza,felimida binza,597414
chromodoris boucheti,chromodoris lochi,558198
chromodoris britoi,felimida binza,597414
chromodoris clenchi,felimida clenchi,597396
chromodoris coi,goniobranchus coi,597329
chromodoris collingwoodi,goniobranchus collingwoodi,597330
chromodoris dalli,chromolaichma dalli,558507
chromodoris daphne,goniobranchus daphne,597331
chromodoris elizabethina,chromodoris elisabethina,527354
chromodoris galexorum,felimida galexorum,597445
chromodoris geminus,goniobranchus geminus,597335
chromodoris geometrica,goniobranchus geometricus,597336
chromodoris gleniei,goniobranchus gleniei,597358
chromodoris grahami,felimida grahami,884441
chromodoris leopardus,goniobranchus leopardus,833143
chromodoris macfarlandi,felimida macfarlandi,597451
chromodoris marislae,felimida marislae,597452
chromodoris neona,felimida clenchi,597396
chromodoris obsoleta,goniobranchus obsoletus,597365
chromodoris paulomarcioi,felimida paulomarcioi,884439
chromodoris ponga,felimida ponga,597455
chromodoris punctilucens,felimida punctilucens,597456
chromodoris regalis,felimida regalis,597457
chromodoris roboi,goniobranchus roboi,597342
chromodoris roseopicta,felimare zebra,597538
chromodoris sphoni,felimida sphoni,558459
chromodoris splendida,goniobranchus splendidus,771431
chromodoris tinctoria,goniobranchus tinctorius,597374
chromodoris tritos,goniobranchus tritos,597376
chrysallida bjoernsoni,chrysallida bjoernssoni,140898
chrysallida eximia,parthenina eximia,835650
chrysallida gemmulosa,chrysallida gemmulosa,420440
chrysallida hoeisaeteri,chrysallida hoeisaeteri,140915
chrysallida medialuna,chrysallida medialuna,457312
chrysallida multituberculata,boonea multituberculata,1317219
chrysallida nioba,chrysallida nioba,420441
chrysaora helvola,chrysaora fuscescens,287206
chrysaora kynthia,chrysaora kynthia,472842
chrysaora wurlerra,chrysaora wurlerra,472844
chrysichthys acsiorum,chrysichthys acsiorum,1008548
chrysichthys aluuensis,chrysichthys aluuensis,1011950
chrysichthys ansorgii,chrysichthys ansorgii,1017823
chrysichthys bocagii,chrysichthys bocagii,1017824
chrysichthys brachynema,chrysichthys brachynema,1018954
chrysichthys brevibarbis,chrysichthys brevibarbis,1468482
chrysichthys cranchii,chrysichthys cranchii,1026874
chrysichthys dageti,chrysichthys dageti,1384034
chrysichthys delhezi,chrysichthys delhezi,1383114
chrysichthys dendrophorus,chrysichthys dendrophorus,1524557
chrysichthys depressus,chrysichthys depressus,1017099
chrysichthys duttoni,chrysichthys duttoni,1018502
chrysichthys habereri,chrysichthys habereri,1017554
chrysichthys helicophagus,chrysichthys helicophagus,1012772
chrysichthys hildae,chrysichthys hildae,1383644
chrysichthys johnelsi,chrysichthys johnelsi,581697
chrysichthys laticeps,chrysichthys laticeps,1015701
chrysichthys levequei,chrysichthys levequei,1011440
chrysichthys longibarbis,chrysichthys longibarbis,1468483
chrysichthys longidorsalis,chrysichthys longidorsalis,1012313
chrysichthys longipinnis,chrysichthys longipinnis,1016733
chrysichthys mabusi,chrysichthys mabusi,1018501
chrysichthys macropterus,chrysichthys macropterus,1016870
chrysichthys maurus,chrysichthys maurus,581698
chrysichthys nigrodigitatus,chrysichthys nigrodigitatus,581699
chrysichthys nyongensis,chrysichthys nyongensis,1524149
chrysichthys ogooensis,chrysichthys ogooensis,1018978
