orig_sciname,valid_name,aphia_id,taxonkey,taxon_name,common_name,descript,tax_level,worms_name,comments
farfantepenaeus paulensis,no match,-9999,690338,Farfantepenaeus paulensis,Sao Paulo shrimp,shrimp,6,no match,
farfantepenaeus brasiliensis,no match,-9999,690327,Farfantepenaeus brasiliensis,Redspotted shrimp,shrimp,6,no match,
tapes pullastra,no match,-9999,690309,Tapes pullastra,Pullet carpet shell,demersal mollusc,6,no match,
loligo opalescens,NA,NA,690658,Loligo opalescens,California market squid,cephalopods,6,NA,NA
zidona dufresnei,NA,NA,690674,Zidona dufresnei,Angulate volute,demersal mollusc,6,NA,NA
tapes rhomboides,NA,NA,690675,Tapes rhomboides,Banded carpet shell,demersal mollusc,6,NA,NA
chlamys delicatula,NA,NA,690679,Chlamys delicatula,Delicate scallop,demersal mollusc,6,NA,NA
tawera gayi,NA,NA,690682,Tawera gayi,Gay's little venus,demersal mollusc,6,NA,NA
chione stutchburyi,NA,NA,690692,Chione stutchburyi,Stutchbury's venus,demersal mollusc,6,NA,NA
jasus novaehollandiae,NA,NA,690696,Jasus novaehollandiae,Southern rock lobster,lobsters crab,6,NA,NA
