taxonkey,taxon_name,common_name,descript,tax_level,worms_name
500640,Galeus,Catsharks,shark <90 cm,5,galeus
500642,Etmopterus,Lanternsharks,shark <90 cm,5,etmopterus
500646,Dasyatis,Stingrays,rays >=90 cm,5,dasyatis
500654,Merluccius,Hakes,benthopelagic >=90 cm,5,merluccius
500661,Trachurus,Jack and horse mackerels,pelagic 30 - 90 cm,5,trachurus
500679,Spicara,Picarels,demersal <30 cm,5,spicara
500686,Gaidropsarus,Rocklings,demersal 30 - 90 cm,5,gaidropsarus
500693,Sphyrna,Hammerhead sharks,shark >=90 cm,5,sphyrna
500705,Diplodus,Seabreams and porgies,benthopelagic 30 - 90 cm,5,diplodus
500716,Epigonus,Cardinalfishes,bathydemersal <30 cm,5,epigonus
500717,Myoxocephalus,Sculpins,demersal <30 cm,5,myoxocephalus
500808,Scolopsis,Monocle breams,reef-associated <30 cm,5,scolopsis
500809,Dentex,Seabreams (Dentex spp),demersal 30 - 90 cm,5,dentex
500814,Scyliorhinus,Lesser catsharks,shark <90 cm,5,scyliorhinus
500856,Chirocentrus,Wolf herring,benthopelagic >=90 cm,5,chirocentrus
500871,Belone,Needlefishes,pelagic <30 cm,5,belone
500901,Serranus,Groupers,demersal <30 cm,5,serranus
500903,Pagrus,Seabreams (Pagrus spp),demersal >=90 cm,5,pagrus
500912,Priacanthus,Bigeyes,demersal 30 - 90 cm,5,priacanthus
500928,Seriola,Amberjacks,benthopelagic 30 - 90 cm,5,seriola
500934,Platax,Batfishes,reef-associated 30 - 90 cm,5,platax
501055,Gerres,Silver biddies,demersal <30 cm,5,gerres
501096,Molva,Lings,demersal >=90 cm,5,molva
501129,Beryx,Alfonsinos,bathydemersal >=90 cm,5,beryx
501132,Upeneus,Tropical goatfishes,demersal <30 cm,5,upeneus
501135,Sebastes,Redfishes,demersal 30 - 90 cm,5,sebastes
501145,Pagellus,Pandoras,demersal 30 - 90 cm,5,pagellus
501163,Auxis,Frigate tuna,pelagic 30 - 90 cm,5,auxis
501164,Peprilus,Harvestfishes,benthopelagic <30 cm,5,peprilus
501242,Scatophagus,Scats,benthopelagic 30 - 90 cm,5,scatophagus
501327,Micropogonias,Western croakers,demersal 30 - 90 cm,5,micropogonias
501345,Tylosurus,Needlefishes,benthopelagic >=90 cm,5,tylosurus
501410,Salvelinus,Char,benthopelagic <30 cm,5,salvelinus
501418,Microchirus,Iberian soles,flatfish <90 cm,5,microchirus
501464,Pristiophorus,Sawsharks,shark >=90 cm,5,pristiophorus
501486,Lycodes,Eelpouts,demersal <30 cm,5,lycodes
501523,Nemadactylus,Porae,demersal 30 - 90 cm,5,nemadactylus
501548,Chrysoblephus,Seabreams,demersal 30 - 90 cm,5,chrysoblephus
501550,Lithognathus,Steenbras,benthopelagic >=90 cm,5,lithognathus
501551,Calamus,Porgies,reef-associated 30 - 90 cm,5,calamus
501552,Nemipterus,Threadfin breams,demersal <30 cm,5,nemipterus
501677,Cantherhines,Filefishes,reef-associated <30 cm,5,cantherhines
501826,Muraenesox,Conger eels,demersal >=90 cm,5,muraenesox
501905,Thunnus,Tuna,pelagic >=90 cm,5,thunnus
501940,Sardinella,Sardinella,pelagic 30 - 90 cm,5,sardinella
501941,Harengula,Herring,pelagic <30 cm,5,harengula
502004,Seriolella,Barrelfishes,pelagic >=90 cm,5,seriolella
502102,Decapterus,Scads,pelagic 30 - 90 cm,5,decapterus
502417,Genypterus,Cusk eels,bathydemersal >=90 cm,5,genypterus
502682,Dicentrarchus,European/spotted seabass,pelagic 30 - 90 cm,5,dicentrarchus
502724,Oncorhynchus,Pacific salmon,benthopelagic >=90 cm,5,oncorhynchus
502790,Menticirrhus,Kingcroakers,demersal 30 - 90 cm,5,menticirrhus
502794,Cynoscion,Weakfishes,demersal >=90 cm,5,cynoscion
503028,Mycteroperca,Cat groupers,reef-associated >=90 cm,5,mycteroperca
503078,Hydrolagus,Chimaeras,rays <90 cm,5,hydrolagus
503124,Lepidorhombus,Megrims,flatfish <90 cm,5,lepidorhombus
503152,Pseudotolithus,Croakers,demersal 30 - 90 cm,5,pseudotolithus
503328,Notoscopelus,Lampfish,pelagic <30 cm,5,notoscopelus
503580,Gymnocranius,Large-eye breams,reef-associated 30 - 90 cm,5,gymnocranius
503685,Gymnoscopelus,lanternfish,bathypelagic <30 cm,5,gymnoscopelus
503990,Bathylagus,Bathylagus,bathypelagic <30 cm,5,bathylagus
504054,Muraenolepis,Moray cods,benthopelagic 30 - 90 cm,5,muraenolepis
504140,Benthodesmus,Frostfishes,benthopelagic 30 - 90 cm,5,benthodesmus
504872,Dissostichus,Toothfishes,benthopelagic >=90 cm,5,dissostichus
504943,Pterygotrigla,Pterygotrigla,demersal <30 cm,5,pterygotrigla
504993,Rhinochimaera,Longnose chimaeras,rays >=90 cm,5,rhinochimaera
505469,Rastrelliger,Indo-Pacific mackerels,pelagic 30 - 90 cm,5,rastrelliger
505799,Austroglossus,Southern soles,flatfish <90 cm,5,austroglossus
505897,Anarhichas,Wolffish,demersal >=90 cm,5,anarhichas
506253,Coregonus,Whitefishes,demersal 30 - 90 cm,5,coregonus
507720,Stolephorus,Indo-Pacific anchovies,pelagic <30 cm,5,stolephorus
508611,Bathyraja,Skates,rays <90 cm,5,bathyraja
508895,Pogonophryne,Blunderfish,demersal <30 cm,5,pogonophryne
509125,Sphoeroides,Puffers,demersal <30 cm,5,sphoeroides
509289,Hemiramphus,Halfbeaks,pelagic 30 - 90 cm,5,hemiramphus
509303,Phycis,Gunnels forkbeards,benthopelagic 30 - 90 cm,5,phycis
509366,Trematomus,Antarctic rockcods,demersal 30 - 90 cm,5,trematomus
520007,Pampus,Silver pomfrets,benthopelagic 30 - 90 cm,5,pampus
590010,Loligo,Common squids,cephalopods,5,loligo
590013,Octopus,Octopuses,cephalopods,5,octopus
590014,Crassostrea,Cupped oysters,demersal mollusc,5,crassostrea
590024,Eledone,Horned and musky octopuses,cephalopods,5,eledone
590046,Haliotis,Abalones,demersal mollusc,5,haliotis
590049,Littorina,Periwinkles,demersal mollusc,5,littorina
590050,Murex,Murex shells,demersal mollusc,5,murex
590051,Strombus,Stromboid conchs,demersal mollusc,5,strombus
590053,Turbo,Turbo snails,demersal mollusc,5,turbo
590062,Callinectes,Blue crabs,lobsters crab,5,callinectes
590065,Chionoecetes,Pacific snow crabs,lobsters crab,5,chionoecetes
590067,Geryon,Deepsea crabs,lobsters crab,5,geryon
590070,Lithodes,Lithodes,lobsters crab,5,lithodes
590073,Paralithodes,King crabs,lobsters crab,5,paralithodes
590074,Paralomis,Paralomis,lobsters crab,5,paralomis
590075,Portunus,Swims crabs,lobsters crab,5,portunus
590079,Metanephrops,Lobsterette,lobsters crab,5,metanephrops
590082,Palinurus,Spiny lobsters,lobsters crab,5,palinurus
590083,Panulirus,Tropical spiny lobsters,lobsters crab,5,panulirus
590088,Crangon,Sand shrimps,shrimp,5,crangon
590089,Haliporoides,Knife shrimps,shrimp,5,haliporoides
590091,Metapenaeus,Metapenaeus shrimps,shrimp,5,metapenaeus
590093,Pandalus,Pandalus shrimps,shrimp,5,pandalus
590094,Parapenaeopsis,Shrimps,shrimp,5,parapenaeopsis
590096,Penaeus,Penaeus shrimps,shrimp,5,penaeus
590103,Euphausia,Euphausia,krill,5,euphausia
590107,Lepas,Goose barnacles,demersal mollusc,5,lepas
590110,Busycon,Whelks,demersal mollusc,5,busycon
590111,Rapana,Sea snails,demersal mollusc,5,rapana
590112,Ostrea,Flat oysters,demersal mollusc,5,ostrea
590116,Modiolus,Horse mussels,demersal mollusc,5,modiolus
590117,Mytilus,Mussels,demersal mollusc,5,mytilus
590124,Anadara,Anadara clams,demersal mollusc,5,anadara
590125,Arca,Ark clams,demersal mollusc,5,arca
590128,Donax,Donax clams,demersal mollusc,5,donax
590134,Meretrix,Hard clams,demersal mollusc,5,meretrix
590137,Mulinia,Taquilla clams,demersal mollusc,5,mulinia
590139,Paphia,Short neck clams,demersal mollusc,5,paphia
590145,Solen,Razor clams,demersal mollusc,5,solen
590146,Spisula,Surf clam,demersal mollusc,5,spisula
590147,Tapes,Tapes clams,demersal mollusc,5,tapes
590242,Patella,Limpets,demersal mollusc,5,patella
590244,Scyllarides,Scyllarides,lobsters crab,5,scyllarides
590252,Cymbium,Gondolas,demersal mollusc,5,cymbium
590260,Sclerocrangon,Sculptured shrimps,shrimp,5,sclerocrangon
590262,Tellina,Tellins,demersal mollusc,5,tellina
590269,Tresus,Gaper clams,demersal mollusc,5,tresus
590272,Charybdis,Indo-Pacific swimming crabs,lobsters crab,5,charybdis
600004,Engraulis ringens,Anchoveta,pelagic <30 cm,6,engraulis ringens
600005,Orthopristis chrysoptera,Pigfish,demersal 30 - 90 cm,6,orthopristis chrysoptera
600006,Coryphaena hippurus,Common dolphinfish,pelagic >=90 cm,6,coryphaena hippurus
600015,Epinephelus guttatus,Red hind,reef-associated 30 - 90 cm,6,epinephelus guttatus
600017,Epinephelus morio,Red grouper,reef-associated >=90 cm,6,epinephelus morio
600018,Epinephelus striatus,Nassau grouper,reef-associated >=90 cm,6,epinephelus striatus
600020,Argentina sphyraena,Argentine,pelagic 30 - 90 cm,6,argentina sphyraena
600024,Clupea harengus,Atlantic herring,pelagic 30 - 90 cm,6,clupea harengus
600026,Glyptocephalus cynoglossus,Witch,flatfish <90 cm,6,glyptocephalus cynoglossus
600027,Lepidorhombus boscii,Fourspotted megrim,flatfish <90 cm,6,lepidorhombus boscii
600028,Lepidorhombus whiffiagonis,Megrim,flatfish <90 cm,6,lepidorhombus whiffiagonis
600029,Merlangius merlangus,Whiting,benthopelagic 30 - 90 cm,6,merlangius merlangus
600030,Merluccius merluccius,European hake,demersal >=90 cm,6,merluccius merluccius
600031,Micromesistius poutassou,Blue whiting,benthopelagic 30 - 90 cm,6,micromesistius poutassou
600032,Microchirus variegatus,Thickback sole,flatfish <90 cm,6,microchirus variegatus
600033,Molva molva,Ling,demersal >=90 cm,6,molva molva
600034,Pollachius pollachius,Pollack,benthopelagic >=90 cm,6,pollachius pollachius
600041,Arnoglossus laterna,Scaldfish,flatfish <90 cm,6,arnoglossus laterna
600044,Aspitrigla cuculus,East Atlantic red gurnard,demersal 30 - 90 cm,6,chelidonichthys cuculus
600045,Atherina presbyter,Sand smelt,pelagic <30 cm,6,atherina presbyter
600047,Belone belone,Garpike,pelagic 30 - 90 cm,6,belone belone
600051,Brosme brosme,Tusk,demersal >=90 cm,6,brosme brosme
600054,Capros aper,Boarfish,demersal 30 - 90 cm,6,capros aper
600056,Cepola macrophthalma,Red bandfish,demersal 30 - 90 cm,6,cepola macrophthalma
600058,Coris julis,Mediterranean rainbow wrasse,reef-associated 30 - 90 cm,6,coris julis
600059,Symphodus melops,Corkwing wrasse,reef-associated <30 cm,6,symphodus melops
600061,Ctenolabrus rupestris,Goldsinny-wrasse,reef-associated <30 cm,6,ctenolabrus rupestris
600062,Cyclopterus lumpus,Lumpsucker,benthopelagic 30 - 90 cm,6,cyclopterus lumpus
600063,Dicentrarchus labrax,European seabass,demersal >=90 cm,6,dicentrarchus labrax
600066,Engraulis encrasicolus,European anchovy,pelagic <30 cm,6,engraulis encrasicolus
600068,Eutrigla gurnardus,Grey gurnard,demersal 30 - 90 cm,6,eutrigla gurnardus
600069,Gadus morhua,Atlantic cod,benthopelagic >=90 cm,6,gadus morhua
600071,Caranx hippos,Crevalle jack,pelagic 30 - 90 cm,6,caranx hippos
600072,Gobius niger,Black goby,demersal <30 cm,6,gobius niger
