iucn_sid,T_min_a,T_min_p,T_max_p,T_max_a,n_cells,warning
195472,2.04704999923706,3.38475704193115,24.0954742431641,25.4802513122559,71,no worries
195473,2.04704999923706,3.38475704193115,24.0954742431641,25.4802513122559,71,no worries
195474,17.9155902862549,26.03871650695805,29.30197010040283,33.50197010040283,2322,no worries
195475,23.2757949829102,26.17918205261228,28.633154296875,32.833154296875,578,no worries
195477,0.80902898311615,2.306112217903134,22.388439178466815,28.1378879547119,168,no worries
195478,1.22410595417023,2.3488791704177885,22.322871780395502,25.623628616333,39,no worries
195479,3.84315204620361,4.71680512428284,24.319389915466342,25.4191436767578,28,no worries
195485,0.556599020957947,0.5988374114036562,21.63323860168456,28.2774429321289,107,no worries
195487,11.3693513870239,12.97864017486571,20.63938293457031,22.325252532959,378,no worries
195488,0.899975001811981,2.5166969299316424,19.81257553100586,26.2693901062012,3327,no worries
195489,14.5254364013672,16.1536731719971,25.1413421630859,29.341342163085898,151,no worries
196013,22.9058170318604,23.882175445556648,28.521133422851598,32.7211334228516,56,no worries
196014,28.8773136138916,28.901716423034678,29.121005249023398,33.3210052490234,4,preference temp range too small!
196015,12.20396900177,12.648251342773419,16.06399154663082,17.1446170806885,59,no worries
196016,11.9768981933594,13.59636726379393,23.58740653991697,26.4698333740234,568,no worries
196017,1.64505505561829,3.5823949575424203,18.4491024017334,28.2709255218506,146,no worries
196018,0.851786017417908,1.0435398221015941,2.4819083213806112,25.4041652679443,450,no worries
196019,5.94711875915527,6.7309547424316385,16.76899833679202,19.8701591491699,665,no worries
196020,1.09535396099091,1.395958852767946,6.615219593048095,9.89136409759521,17,no worries
196021,1.2084139585495,1.377120471000673,5.908155560493472,7.45812511444092,4,no worries
196022,1.21132302284241,1.240047812461852,1.478884029388424,2.44648694992065,23,preference temp range too small!
196023,1.7173600196838399,1.88136696815491,2.7155100107193,3.2318959236145,6,no worries
196024,23.3970623016357,24.12598304748534,28.66895904541018,32.86895904541018,23,no worries
196025,3.2369658946991,3.568011021614078,6.216372036933901,6.54741716384888,2,no worries
196026,14.0415992736816,14.81232919692995,23.13923091888424,24.1669883728027,192,no worries
196027,6.79108619689941,7.62667989730835,20.91598796844485,24.6925621032715,6,no worries
196028,2.90076088905334,2.90076088905334,2.90076088905334,2.90076088905334,1,preference temp range too small!
196029,1.28387796878815,1.294953417778018,3.779050278663638,6.82369518280029,7,no worries
196030,15.7329721450806,15.78770923614504,16.049934768676742,16.0847339630127,7,preference temp range too small!
196031,2.43831610679626,2.5252865552902204,10.070055961608912,10.2994356155396,6,no worries
196032,16.8867473602295,17.13364067077634,25.58119163513182,29.78119163513182,47,no worries
196033,23.7120494842529,23.715261268615702,23.740955543518098,23.7441673278809,2,preference temp range too small!
196034,1.58402597904205,2.725090074539186,17.36958007812502,20.6994876861572,108,no worries
196035,3.75232696533203,3.904045152664184,20.49635238647462,24.7743244171143,97,no worries
196036,0.590873003005981,1.703558254241942,26.08941383361816,30.28941383361816,420,no worries
196037,13.305718421936,14.02511043548583,15.975880241394089,16.3732147216797,50,no worries
196038,17.6046619415283,17.71114120483398,18.19227523803714,18.2132968902588,7,preference temp range too small!
196039,1.06619703769684,1.20420098304749,16.9496784210205,25.2498779296875,331,no worries
196040,12.7341899871826,13.35747356414792,16.37318210601807,16.8790950775146,74,no worries
196041,15.0412645339966,15.20806837081908,18.45681209564211,18.657096862793,14,no worries
196043,21.6771144866943,22.717120361328117,25.139502716064438,29.339502716064437,33,no worries
196044,9.08583545684814,10.229334259033159,17.84574394226076,19.8878555297852,255,no worries
196045,27.0899486541748,27.296960830688498,28.6519355773926,32.8519355773926,26,no worries
196046,1.13088405132294,1.28139443397522,1.588551616668704,1.6567599773407,25,no worries
196047,1.40646994113922,1.5558990359306322,2.7513317942619278,2.90076088905334,2,no worries
196049,6.06835317611694,6.427681350708008,7.247499179840084,7.6311469078064,85,preference temp range too small!
196050,-0.763305008411407,6.94210147857666,16.105370521545453,19.5837783813477,666,no worries
196051,14.215407371521,15.920709609985341,24.40426673889162,25.1395435333252,223,no worries
196052,1.15904998779297,1.3761224746704102,16.609042167663553,29.0848026275635,766,no worries
