phylum,class,order,family,genus,species
arthropoda,maxillopoda,sessilia,archaeobalanidae,chirona,no match
arthropoda,maxillopoda,pedunculata,calanticidae,euscalpellum,euscalpellum stratum
arthropoda,maxillopoda,pedunculata,poecilasmatidae,glyptelasma,glyptelasma annandalei
mollusca,bivalvia,veneroida,veneridae,gomphina,no match
mollusca,bivalvia,pterioida,malleidae,malleus,no match
mollusca,bivalvia,veneroida,psammobiidae,gobraeus,no match
mollusca,bivalvia,veneroida,psammobiidae,sanguinolaria,no match
arthropoda,maxillopoda,pedunculata,poecilasmatidae,octolasmis,no match
arthropoda,malacostraca,tanaidacea,cryptocopidae,cryptocopoides,cryptocopoides arcticus
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma papii
gastrotricha,not assigned,chaetonotoidea,chaetonotidae,chaetonotus,chaetonotus (chaetonotus) aegilonensis
gastrotricha,not assigned,chaetonotoidea,chaetonotidae,chaetonotus,chaetonotus (chaetonotus) apechochaetus
gastrotricha,not assigned,chaetonotoidea,chaetonotidae,chaetonotus,chaetonotus (hystricochaetonotus) lacunosus
gastrotricha,not assigned,chaetonotoidea,xenotrichulidae,xenotrichula,xenotrichula punctata
gastrotricha,not assigned,macrodasyoidea,dactylopodolidae,dactylopodola,dactylopodola mesotyphle
gastrotricha,not assigned,macrodasyida,cephalodasyidae,mesodasys,mesodasys adenotubulatus
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,pseudostomella,pseudostomella etrusca
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,ptychostomella,ptychostomella tyrrhenica
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma heterotubulatum
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma polyprobolostomum
gastrotricha,not assigned,chaetonotoidea,chaetonotidae,halichaetonotus,halichaetonotus decipiens
mollusca,gastropoda,archaeogastropoda,orbitestellidae,lurifax,lurifax vitreus
gastrotricha,not assigned,chaetonotoidea,chaetonotidae,halichaetonotus,halichaetonotus marivagus
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma quadritentaculatum
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma thysanophorum
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,thaumastoderma,thaumastoderma mediterraneum
platyhelminthes,turbellaria,acoela,sagittiferidae,symsagittifera,symsagittifera corsicae
arthropoda,pycnogonida,pantopoda,callipallenidae,bradypallene,bradypallene espina
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma hirtum
gastrotricha,not assigned,macrodasyoidea,turbanellidae,paraturbanella,paraturbanella aggregotubulata
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,platydasys,oregodasys maximus
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,platydasys,oregodasys ocellatus
gastrotricha,not assigned,macrodasyoidea,dactylopodolidae,dactylopodola,dactylopodola cornuta
gastrotricha,not assigned,macrodasyoidea,thaumastodermatidae,tetranchyroderma,tetranchyroderma tribolosum
