am_sciname,valid_name,aphia_id
crassostrea vitrefacta,saccostrea spathulata,506734
craterobrisinga analoga,brisinga analoga,254855
craterobrisingia synaptoma,brisinga synaptoma,254874
crateromorpha cylindrica,crateromorpha (aulochone) cylindrica,172070
crella cyathophora,crella (grayella) cyathophora,184492
crella papillata,crella (grayella) papillata,169059
crenatula modiolaris,crenatula picta,216651
crenatula nigrina,crenatula picta,216651
crenella abbotti,crenella gemma,506007
crenella faba,arvella faba,505959
crenella fragilis,solamen glandula,506189
crenella glandula,solamen glandula,506189
crenella pectinula,arvella pectinula,505958
crenella yokoyamai,crenella decussata,140440
crenilabium exile,crenilabium exile,138694
crepidula walshi,ergaea walshi,572294
cribroelphidium excavatum,cribroelphidium excavatum,254680
cribroelphidium subarcticum,cribroelphidium subarcticum,754252
cribrostomoides subglobosum,cribrostomoides subglobosus,254681
crocodylus acutus,crocodylus acutus,422566
crocodylus porosus,crocodylus porosus,344030
cronia contracta,ergalatax contracta,233616
cronia margariticola,drupella margariticola,576817
crouania attenuata,crouania attenuata,144575
crypthelia studeri,crypthelia stenopoma,285797
cryptocopoides arcticus,cryptocopoides arcticus,136495
cryptodromia canaliculata,cryptodromia fallax,209470
cryptodromiopsis unidentata,lewindromia unidentata,440093
cryptopectan tissotii,cryptopecten tissotii,1389668
cryptopectan vesiculosus,cryptopecten vesiculosus,394293
cryptopeltaster lepidonotus,hippasteria lepidonotus,762391
cryptostrea permollis,ostrea permollis,1391840
ctena pectinella,parvilucina pectinella,464249
ctenocidaris nutrix,ctenocidaris (eurocidaris) nutrix,513636
ctenoides concentrica,ctenoides concentricus,528702
ctenoides scabra,ctenoides scaber,420747
cucullaearca candida,barbatia candida,504386
cryptodromiopsis plumosa,no match,NA
cryptopectan inaequivalvis,no match,NA
cryptopectan oweni,no match,NA
ctenocardia symbolica,no match,NA
cucullanus cyprini,cucullanus cyprini,873893
cucumaria japonica,cucumaria frondosa japonica,529406
cucumaria pulcherrima,pentamera pulcherrima,149908
culcita novaeguinae,culcita novaeguineae,212298
cumella antipai,cumella (cumella) antipai,182552
cumella argentinae,cumella (cumella) argentinae,182483
cumella australis,cumella (cumella) australis,182485
cumella carinata,cumella (cumella) carinata,110564
cumella garrityi,cumella (cumella) garrityi,182500
cumella gomoiui,cumella (cumella) gomoiui,182502
cumella ocellata,cumella (cumella) ocellata,182516
cumella pectinifera,cumella (cumella) pectinifera,231737
cumella schieckei,cumella (cumella) schieckei,182524
cumella somersi,cumella (cumewingia) somersi,468207
cumingia coarctata,cumingia lamellosa,507257
cumingia tellinoides,cumingia sinuosa,507255
cuna dalli,goniocuna dalli,505029
curtitoma reticulata,curtitoma trevelliana,160246
curupironomus agassizi,curupironomus agassirii,421910
cuspidaria arctica,cuspidaria arctica,139437
cuspidaria concentrica,cuspidaria concentrica,197120
cuspidaria fairchildi,cuspidaria fairchildi,407767
cuspidaria glacialis,cuspidaria glacialis,139445
cuspidaria infelix,cuspidaria infelix,197122
cuspidaria jeffreysi,cuspidaria jeffreysi,139447
cuspidaria media,cuspidaria media,156770
cuspidaria microrhina,cuspidaria microrhina,407824
cuspidaria morelandi,cuspidaria morelandi,407829
cuspidaria obesa,cuspidaria obesa,139450
cuspidaria rostrata,cuspidaria rostrata,139453
cuspidaria rostrata,cuspidaria microrhina,407824
cuspidaria subtorta,cuspidaria subtorta,139454
cuspidaria tenella,cuspidaria tenella,197124
cuspidaria willetti,cuspidaria willetti,408090
cuspidella costata,laodicea undulata,117725
cuspidella humilis,cuspidella humilis,117406
cuthona albocrusta,trinchesia albocrusta,1037416
cuthona gymnota,catriona gymnota,141611
cuthona viridis,diaphoreolis viridis,1036948
cyamiocardium crassilabrum,cyamiocardium crassilabrum,197127
cyanagraea preadator,cyanagraea praedator,440290
cycethra verrucosa,cycethra verrucosa,172748
cyclinella tenuis,cyclinella tenuis,156826
cyclocardia barbarensis,hippocampocardia barbarensis,1420847
cyclocardia crassidens,crassicardia crassidens,1420848
cyclocardia crebricostata,crassicardia crebricostata,1514455
cyclopecten imbrifer,cyclopecten hoskynsi,140700
cyclopecten nanus,similipecten nanus,391738
cyclopecten subimbrifer,cyclopecten hoskynsi,140700
cycloscala crenulata,cycloscala peaseana,1053758
cycloscala echinaticosta,cycloscala echinaticosta,419797
cycloscala hyalina,cycloscala hyalina,139700
cycloscala sardellae,cycloscala sardellae,388740
cycloseris erosa,cycloseris tenuis,207324
cycloseris hexagonalis,sinuorota hexagonalis,994375
cycloseris patelliformis,cycloseris fragilis,716448
cyclostremella humilis,cyclostremella humilis,420443
cyclostremiscus emeryi,lodderena emeryi,567512
cyerce antillensis,cyerce antillensis,420577
cyerce cristallina,cyerce cristallina,140090
cylichna magna,pseudocylichna magna,943490
cylichna occulta,cylichnoides occultus,884604
cylichna verrilli,cylichna verrillii,420537
cylichnina nitidula,retusa nitidula,153527
cylindriscala andrewsii,cylindriscala andrewsii,419798
cylindrobulla beauii,cylindrobulla beauii,420554
cylindrobulla gigas,cylindrobulla gigas,420555
cymakra dubia,redfernella dubia,1458624
cymatium caudatum,ranularia caudata,217019
cymatium cingulatum,linatella caudata,141114
cymatium comptum,monoplex comptus,476517
cymatium cynocephalum,ranularia cynocephala,476546
cymatium dunkeri,ranularia dunkeri,476547
cymatium gutturnium,ranularia gutturnia,476551
cymatium hepaticum,septa hepatica,476585
cymatium flaveolum,no match,NA
cymatium intermedium,monoplex intermedius,476522
cymatium krebsii,monoplex krebsii,476525
cymatium lotorium,lotoria lotoria,476511
cymatium martinianum,monoplex pilearis,476533
cymatium muricinum,gutturnium muricinum,220950
cymatium nicobaricum,monoplex nicobaricus,476529
cymatium occidentale,septa occidentalis,476588
cymatium pfeifferianum,reticutriton pfeifferianus,476566
cymatium pharcida,turritriton tenuiliratus,476595
cymatium pileare,monoplex macrodon,476527
cymatium pileare,monoplex pilearis,476533
cymatium pyrum,ranularia pyrum,476557
cymatium rehderi,ranularia rehderi,476558
cymatium rubeculum,septa rubecula,476590
cymatium testudinarium,ranularia testudinaria,476562
cymodoce multidens,oxinasphaera multidens,261715
