species,trait,value,source,val_num
pentamera populifera,age_mat,1-5yrs,vuln,NA
pisaster ochraceus,age_mat,NA,vuln,NA
psammechinus miliaris,age_mat,1-5yrs,vuln,NA
pseudocnus lubricus,age_mat,1-5yrs,vuln,NA
psolidium bullatum,age_mat,1-5yrs,vuln,NA
psolus chitonoides,age_mat,1-5yrs,vuln,NA
pycnopodia helianthoides,age_mat,NA,vuln,NA
strongylocentrotus droebachiensis,age_mat,NA,vuln,NA
strongylocentrotus fragilis,age_mat,NA,vuln,NA
strongylocentrotus pallidus,age_mat,NA,vuln,NA
strongylocentrotus purpuratus,age_mat,1-5yrs,vuln,NA
tripneustes gratilla,age_mat,NA,vuln,NA
tripneustes kermadecensis,age_mat,NA,vuln,NA
alopias pelagicus,age_mat,5-10yrs,vuln,NA
alopias superciliosus,age_mat,10-20yrs,vuln,NA
alopias vulpinus,age_mat,5-10yrs,vuln,NA
carcharhinus leucas,age_mat,10-20yrs,vuln,NA
carcharodon carcharias,age_mat,10-20yrs,vuln,NA
cephalurus cephalus,age_mat,NA,vuln,NA
cetorhinus maximus,age_mat,5-10yrs,vuln,NA
cetorhinus maximus,age_mat,10-20yrs,vuln,NA
echinorhinus brucus,age_mat,10-20yrs,vuln,NA
echinorhinus cookei,age_mat,10-20yrs,vuln,NA
galeocerdo cuvier,age_mat,5-10yrs,vuln,NA
galeorhinus galeus,age_mat,10-20yrs,vuln,NA
ginglymostoma cirratum,age_mat,10-20yrs,vuln,NA
hexatrygon bickelli,age_mat,NA,vuln,NA
hypnos monopterygius,age_mat,NA,vuln,NA
isurus oxyrinchus,age_mat,10-20yrs,vuln,NA
isurus paucus,age_mat,10-20yrs,vuln,NA
lamna ditropis,age_mat,5-10yrs,vuln,NA
lamna ditropis,age_mat,10-20yrs,vuln,NA
lamna nasus,age_mat,10-20yrs,vuln,NA
megatrygon microps,age_mat,NA,vuln,NA
mobula alfredi,age_mat,5-10yrs,vuln,NA
mobula birostris,age_mat,5-10yrs,vuln,NA
nebrius ferrugineus,age_mat,10-20yrs,vuln,NA
plesiobatis daviesi,age_mat,NA,vuln,NA
prionace glauca,age_mat,5-10yrs,vuln,NA
pseudocarcharias kamoharai,age_mat,5-10yrs,vuln,NA
pteroplatytrygon violacea,age_mat,NA,vuln,NA
rhincodon typus,age_mat,>20yrs,vuln,NA
somniosus microcephalus,age_mat,>20yrs,vuln,NA
spiniraja whitleyi,age_mat,5-10yrs,vuln,NA
triakis semifasciata,age_mat,10-20yrs,vuln,NA
zearaja maugeana,age_mat,NA,vuln,NA
acanthochromis polyacanthus,age_mat,<1yr,vuln,NA
acanthopagrus australis,age_mat,1-5yrs,vuln,NA
acanthurus dussumieri,age_mat,>20yrs,vuln,NA
acromycter perturbator,age_mat,<1yr,vuln,NA
alcichthys elongatus,age_mat,1-5yrs,vuln,NA
alectis ciliaris,age_mat,1-5yrs,vuln,NA
alepes vari,age_mat,1-5yrs,vuln,NA
amphichthys cryptocentrus,age_mat,1-5yrs,vuln,NA
amphiprion akindynos,age_mat,<1yr,vuln,NA
ancylopsetta cycloidea,age_mat,1-5yrs,vuln,NA
ancylopsetta kumperae,age_mat,1-5yrs,vuln,NA
anguilla australis,age_mat,10-20yrs,vuln,NA
antipodocottus galatheae,age_mat,<1yr,vuln,NA
apogon indicus,age_mat,<1yr,vuln,NA
apogonichthys ocellatus,age_mat,<1yr,vuln,NA
apterichtus kendalli,age_mat,1-5yrs,vuln,NA
ariosoma selenops,age_mat,<1yr,vuln,NA
arnoglossus brunneus,age_mat,1-5yrs,vuln,NA
arnoglossus imperialis,age_mat,1-5yrs,vuln,NA
arnoglossus rueppelii,age_mat,1-5yrs,vuln,NA
artediellichthys nigripinnis,age_mat,<1yr,vuln,NA
artedielloides auriculatus,age_mat,<1yr,vuln,NA
asarcenchelys longimanus,age_mat,1-5yrs,vuln,NA
austroglossus microlepis,age_mat,1-5yrs,vuln,NA
balistoides viridescens,age_mat,1-5yrs,vuln,NA
bassozetus robustus,age_mat,<1yr,vuln,NA
bathycongrus retrotinctus,age_mat,<1yr,vuln,NA
bathycongrus vicinalis,age_mat,<1yr,vuln,NA
bathypterois grallator,age_mat,NA,vuln,NA
bathyuroconger vicinus,age_mat,<1yr,vuln,NA
batrachoides surinamensis,age_mat,1-5yrs,vuln,NA
benthocometes robustus,age_mat,<1yr,vuln,NA
benthosema pterotum,age_mat,<1yr,vuln,NA
bhanotia nuda,age_mat,<1yr,vuln,NA
bothus mancus,age_mat,1-5yrs,vuln,NA
brachionichthys hirsutus,age_mat,1-5yrs,vuln,NA
brachirus harmandi,age_mat,<1yr,vuln,NA
brachirus sorsogonensis,age_mat,1-5yrs,vuln,NA
brachypleura novaezeelandiae,age_mat,<1yr,vuln,NA
brachysomophis longipinnis,age_mat,<1yr,vuln,NA
bryx veleronis,age_mat,<1yr,vuln,NA
buglossidium luteum,age_mat,1-5yrs,vuln,NA
calamopteryx jeb,age_mat,<1yr,vuln,NA
callechelys bitaeniata,age_mat,1-5yrs,vuln,NA
caranx crysos,age_mat,1-5yrs,vuln,NA
caranx sexfasciatus,age_mat,1-5yrs,vuln,NA
carapus bermudensis,age_mat,1-5yrs,vuln,NA
careproctus cactiformis,age_mat,<1yr,vuln,NA
careproctus herwigi,age_mat,<1yr,vuln,NA
careproctus mederi,age_mat,<1yr,vuln,NA
careproctus minimus,age_mat,<1yr,vuln,NA
careproctus pallidus,age_mat,<1yr,vuln,NA
centropogon latifrons,age_mat,<1yr,vuln,NA
cephalopholis cyanostigma,age_mat,1-5yrs,vuln,NA
cetoscarus bicolor,age_mat,1-5yrs,vuln,NA
chaetodon auriga,age_mat,1-5yrs,vuln,NA
chaetodon triangulum,age_mat,1-5yrs,vuln,NA
chaetodon trifascialis,age_mat,1-5yrs,vuln,NA
champsocephalus gunnari,age_mat,5-10yrs,vuln,NA
chascanopsetta crumenalis,age_mat,1-5yrs,vuln,NA
cheilodipterus singapurensis,age_mat,<1yr,vuln,NA
chelidonichthys kumu,age_mat,1-5yrs,vuln,NA
chlopsis kazuko,age_mat,<1yr,vuln,NA
chromis atripectoralis,age_mat,<1yr,vuln,NA
chromis dispilus,age_mat,<1yr,vuln,NA
cirripectes alleni,age_mat,<1yr,vuln,NA
cirripectes filamentosus,age_mat,<1yr,vuln,NA
citharichthys gymnorhinus,age_mat,<1yr,vuln,NA
citharichthys mariajorisae,age_mat,<1yr,vuln,NA
clinocottus globiceps,age_mat,<1yr,vuln,NA
